"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","23,500.0","23,500.0","23,550.0","23,300.0","8.94M","0.00%"
"28/04/2026","23,500.0","23,400.0","23,500.0","23,350.0","7.24M","0.43%"
"24/04/2026","23,400.0","23,550.0","23,600.0","23,300.0","17.48M","-0.43%"
"23/04/2026","23,500.0","23,550.0","23,900.0","23,500.0","14.04M","-0.42%"
"22/04/2026","23,600.0","23,750.0","23,800.0","23,550.0","8.81M","-0.63%"
"21/04/2026","23,750.0","24,000.0","24,050.0","23,750.0","6.82M","-0.84%"
"20/04/2026","23,950.0","23,850.0","24,000.0","23,750.0","8.67M","0.84%"
"17/04/2026","23,750.0","23,700.0","23,850.0","23,650.0","6.07M","0.42%"
"16/04/2026","23,650.0","23,900.0","23,900.0","23,600.0","8.62M","-0.63%"
"15/04/2026","23,800.0","24,150.0","24,200.0","23,800.0","7.25M","-0.83%"
"14/04/2026","24,000.0","23,950.0","24,150.0","23,800.0","15.45M","1.05%"
"13/04/2026","23,750.0","23,800.0","24,000.0","23,550.0","8.08M","-0.42%"
"10/04/2026","23,850.0","24,100.0","24,200.0","23,850.0","8.14M","0.00%"
"09/04/2026","23,850.0","24,050.0","24,050.0","23,750.0","5.14M","-1.04%"
"08/04/2026","24,100.0","23,700.0","24,150.0","23,550.0","19.73M","3.88%"
"07/04/2026","23,200.0","23,250.0","23,400.0","23,150.0","10.47M","-0.22%"
"06/04/2026","23,250.0","23,500.0","23,500.0","23,200.0","5.55M","-1.06%"
"03/04/2026","23,500.0","23,600.0","23,700.0","23,250.0","11.39M","-0.42%"
"02/04/2026","23,600.0","23,700.0","23,700.0","23,300.0","9.77M","-0.84%"
"01/04/2026","23,800.0","23,850.0","23,900.0","23,700.0","9.88M","1.06%"
"31/03/2026","23,550.0","23,650.0","23,850.0","23,450.0","13.10M","-0.84%"
"30/03/2026","23,750.0","23,300.0","23,800.0","23,300.0","7.41M","-0.21%"
"27/03/2026","23,800.0","23,400.0","23,800.0","23,300.0","7.64M","0.85%"
"26/03/2026","23,600.0","23,700.0","23,700.0","23,300.0","8.29M","-0.84%"
"25/03/2026","23,800.0","23,200.0","23,800.0","23,150.0","12.45M","3.03%"
"24/03/2026","23,100.0","22,750.0","23,100.0","22,750.0","14.00M","2.67%"
"23/03/2026","22,500.0","22,950.0","22,950.0","22,450.0","15.86M","-2.17%"
"20/03/2026","23,000.0","23,400.0","23,500.0","23,000.0","13.78M","-2.54%"
