"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","53,200","53,600","53,800","52,800","445.80K","-0.75%"
"28/04/2026","53,600","54,200","54,700","53,600","250.10K","-1.11%"
"24/04/2026","54,200","54,400","54,600","53,600","221.10K","-0.18%"
"23/04/2026","54,300","54,400","55,200","53,800","500.10K","-1.63%"
"22/04/2026","55,200","55,700","55,900","54,400","452.80K","-0.72%"
"21/04/2026","55,600","57,000","57,000","55,600","521.50K","-2.97%"
"20/04/2026","57,300","55,800","57,600","55,500","1.07M","2.87%"
"17/04/2026","55,700","55,500","56,500","55,000","630.00K","1.27%"
"16/04/2026","55,000","54,800","55,900","54,400","546.90K","0.73%"
"15/04/2026","54,600","55,800","55,800","54,600","612.80K","-1.62%"
"14/04/2026","55,500","55,400","56,000","55,000","550.20K","0.18%"
"13/04/2026","55,400","55,000","55,800","54,500","485.00K","-0.18%"
"10/04/2026","55,500","55,500","56,500","55,300","433.80K","0.54%"
"09/04/2026","55,200","54,300","56,300","54,300","644.70K","0.36%"
"08/04/2026","55,000","54,300","55,300","53,600","861.10K","3.38%"
"07/04/2026","53,200","52,500","53,200","52,000","219.30K","1.33%"
"06/04/2026","52,500","53,300","53,300","52,400","233.40K","-1.32%"
"03/04/2026","53,200","53,900","54,700","53,200","412.80K","-0.75%"
"02/04/2026","53,600","54,000","54,900","53,600","335.60K","-0.92%"
"01/04/2026","54,100","54,100","55,000","53,900","679.80K","1.88%"
"31/03/2026","53,100","54,300","54,400","53,100","743.20K","-0.93%"
"30/03/2026","53,600","53,500","54,400","53,100","481.20K","-1.29%"
"27/03/2026","54,300","52,900","54,600","52,800","662.70K","2.84%"
"26/03/2026","52,800","53,400","54,400","52,800","544.70K","-0.19%"
"25/03/2026","52,900","51,800","53,700","51,800","533.40K","2.72%"
"24/03/2026","51,500","51,100","51,800","50,900","385.90K","1.98%"
"23/03/2026","50,500","51,600","52,300","49,750","913.10K","-4.36%"
"20/03/2026","52,800","52,800","53,700","52,700","545.70K","0.00%"
"19/03/2026","52,800","53,500","53,900","52,800","746.60K","-2.40%"
"18/03/2026","54,100","54,100","54,800","53,700","475.10K","0.00%"
"17/03/2026","54,100","54,100","55,400","54,100","419.30K","1.31%"
"16/03/2026","53,400","54,300","54,700","53,200","754.90K","-0.56%"
"13/03/2026","53,700","54,800","55,400","53,700","1.34M","-2.89%"
"12/03/2026","55,300","55,200","56,200","54,800","543.90K","-1.78%"
"11/03/2026","56,300","54,500","56,900","54,000","1.05M","4.26%"
"10/03/2026","54,000","54,500","55,600","53,800","1.12M","-0.92%"
"09/03/2026","54,500","54,600","55,300","54,500","739.10K","-7.00%"
"06/03/2026","58,600","58,500","59,500","58,500","634.00K","-0.68%"
"05/03/2026","59,000","61,200","61,400","59,000","1.01M","-1.83%"
"04/03/2026","60,100","62,200","63,000","58,500","2.21M","-4.15%"
"03/03/2026","62,700","65,000","65,500","62,600","1.72M","-3.54%"
"02/03/2026","65,000","64,700","67,500","64,500","1.60M","-3.42%"
"27/02/2026","67,300","66,100","68,000","66,100","1.21M","1.97%"
