"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","40,100.0","40,200.0","40,350.0","39,700.0","6.69M","-0.12%"
"28/04/2026","40,150.0","40,900.0","41,100.0","40,050.0","6.60M","-1.47%"
"24/04/2026","40,750.0","41,600.0","41,650.0","40,750.0","4.70M","-2.04%"
"23/04/2026","41,600.0","40,250.0","43,050.0","40,250.0","23.93M","3.35%"
"22/04/2026","40,250.0","40,600.0","40,600.0","40,200.0","3.62M","-0.37%"
"21/04/2026","40,400.0","40,750.0","41,300.0","40,400.0","7.98M","-0.37%"
"20/04/2026","40,550.0","40,450.0","40,750.0","40,250.0","5.99M","0.62%"
"17/04/2026","40,300.0","40,300.0","40,700.0","40,100.0","5.79M","0.25%"
"16/04/2026","40,200.0","40,400.0","40,600.0","40,150.0","4.30M","-0.25%"
"15/04/2026","40,300.0","40,750.0","41,000.0","40,300.0","6.30M","-0.25%"
"14/04/2026","40,400.0","40,750.0","40,850.0","40,250.0","5.57M","0.12%"
"13/04/2026","40,350.0","40,500.0","40,750.0","40,250.0","5.77M","-1.10%"
"10/04/2026","40,800.0","41,100.0","41,950.0","40,650.0","8.97M","0.49%"
"09/04/2026","40,600.0","41,000.0","41,150.0","40,500.0","8.14M","-2.05%"
"08/04/2026","41,450.0","40,500.0","41,450.0","40,050.0","15.05M","5.20%"
"07/04/2026","39,400.0","39,400.0","39,500.0","39,000.0","4.80M","0.13%"
"06/04/2026","39,350.0","39,050.0","39,400.0","38,650.0","5.68M","0.77%"
"03/04/2026","39,050.0","39,700.0","39,750.0","39,050.0","7.28M","-1.64%"
"02/04/2026","39,700.0","40,000.0","40,000.0","39,400.0","7.10M","-1.37%"
"01/04/2026","40,250.0","40,000.0","40,600.0","39,700.0","10.07M","2.16%"
"31/03/2026","39,400.0","39,600.0","39,800.0","39,100.0","7.28M","-0.13%"
"30/03/2026","39,450.0","39,100.0","39,550.0","38,950.0","6.08M","-1.00%"
"27/03/2026","39,850.0","38,900.0","39,900.0","38,900.0","8.20M","2.44%"
"26/03/2026","38,900.0","39,500.0","39,700.0","38,900.0","6.16M","-1.52%"
"25/03/2026","39,500.0","39,500.0","39,650.0","38,900.0","8.72M","1.02%"
"24/03/2026","39,100.0","39,300.0","39,600.0","38,500.0","6.99M","1.69%"
"23/03/2026","38,450.0","39,400.0","39,450.0","38,100.0","10.63M","-3.27%"
