"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","34,950.0","35,000.0","35,100.0","34,750.0","6.65M","0.43%"
"28/04/2026","34,800.0","35,300.0","35,350.0","34,700.0","6.95M","-0.57%"
"24/04/2026","35,000.0","35,600.0","35,700.0","35,000.0","4.78M","-1.41%"
"23/04/2026","35,500.0","34,800.0","36,800.0","34,800.0","22.30M","1.72%"
"22/04/2026","34,900.0","34,900.0","35,100.0","34,800.0","4.00M","0.14%"
"21/04/2026","34,850.0","35,300.0","35,450.0","34,850.0","5.81M","-0.71%"
"20/04/2026","35,100.0","34,950.0","35,300.0","34,900.0","6.02M","0.72%"
"17/04/2026","34,850.0","34,700.0","34,900.0","34,550.0","3.78M","0.72%"
"16/04/2026","34,600.0","35,150.0","35,150.0","34,500.0","5.77M","-1.28%"
"15/04/2026","35,050.0","35,200.0","35,300.0","34,850.0","5.59M","0.43%"
"14/04/2026","34,900.0","35,100.0","35,150.0","34,800.0","5.47M","0.29%"
"13/04/2026","34,800.0","34,800.0","35,000.0","34,550.0","4.30M","-0.57%"
"10/04/2026","35,000.0","35,250.0","35,800.0","35,000.0","8.03M","0.00%"
"09/04/2026","35,000.0","35,050.0","35,300.0","34,800.0","6.31M","-1.41%"
"08/04/2026","35,500.0","34,800.0","35,500.0","34,300.0","13.34M","5.34%"
"07/04/2026","33,700.0","33,750.0","33,850.0","33,500.0","4.96M","0.00%"
"06/04/2026","33,700.0","33,750.0","34,050.0","33,550.0","6.07M","-0.30%"
"03/04/2026","33,800.0","34,400.0","34,500.0","33,800.0","8.63M","-1.46%"
"02/04/2026","34,300.0","34,450.0","34,550.0","34,100.0","6.25M","-1.29%"
"01/04/2026","34,750.0","35,200.0","35,300.0","34,650.0","8.26M","0.43%"
"31/03/2026","34,600.0","34,400.0","34,650.0","34,100.0","7.39M","1.62%"
"30/03/2026","34,050.0","34,100.0","34,750.0","33,900.0","6.06M","-2.16%"
"27/03/2026","34,800.0","33,700.0","35,000.0","33,600.0","12.07M","2.96%"
"26/03/2026","33,800.0","34,050.0","34,100.0","33,450.0","5.74M","-0.73%"
"25/03/2026","34,050.0","33,750.0","34,100.0","33,700.0","6.24M","1.49%"
"24/03/2026","33,550.0","33,300.0","33,950.0","33,100.0","6.41M","3.23%"
"23/03/2026","32,500.0","33,200.0","33,200.0","32,000.0","13.24M","-3.27%"
"20/03/2026","33,600.0","34,550.0","34,600.0","33,600.0","10.71M","-3.03%"
"19/03/2026","34,650.0","34,500.0","34,800.0","34,300.0","7.53M","-1.00%"
"18/03/2026","35,000.0","34,600.0","35,750.0","34,600.0","12.55M","1.74%"
"17/03/2026","34,400.0","34,450.0","34,800.0","34,400.0","7.18M","0.73%"
"16/03/2026","34,150.0","34,050.0","34,500.0","34,000.0","5.16M","0.44%"
"13/03/2026","34,000.0","34,300.0","34,500.0","33,950.0","8.28M","-0.87%"
"12/03/2026","34,300.0","34,800.0","34,900.0","34,250.0","12.91M","-2.28%"
"11/03/2026","35,100.0","35,000.0","35,600.0","34,700.0","12.88M","0.14%"
"10/03/2026","35,050.0","34,200.0","35,150.0","33,600.0","24.98M","5.57%"
"09/03/2026","33,200.0","33,200.0","33,500.0","33,200.0","17.77M","-6.87%"
"06/03/2026","35,650.0","35,900.0","36,300.0","35,650.0","8.53M","-1.52%"
"05/03/2026","36,200.0","37,000.0","37,100.0","36,200.0","8.02M","-0.55%"
"04/03/2026","36,400.0","35,750.0","36,700.0","35,450.0","19.45M","1.39%"
"03/03/2026","35,900.0","36,800.0","37,300.0","35,900.0","21.25M","-2.58%"
"02/03/2026","36,850.0","37,500.0","37,850.0","36,850.0","25.73M","-3.66%"
"27/02/2026","38,250.0","38,450.0","38,450.0","38,050.0","8.89M","-0.65%"
