"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","53,600.0","52,500.0","54,000.0","52,500.0","1.36M","2.49%"
"28/04/2026","52,300.0","53,300.0","53,500.0","52,200.0","2.27M","-1.88%"
"24/04/2026","53,300.0","53,600.0","53,600.0","52,600.0","1.89M","-0.37%"
"23/04/2026","53,500.0","54,800.0","54,800.0","53,100.0","2.16M","-2.37%"
"22/04/2026","54,800.0","53,600.0","56,500.0","53,600.0","4.25M","2.81%"
"21/04/2026","53,300.0","53,100.0","54,400.0","52,500.0","1.96M","0.38%"
"20/04/2026","53,100.0","53,800.0","54,500.0","52,500.0","3.42M","-2.57%"
"17/04/2026","54,500.0","55,000.0","55,900.0","54,200.0","2.64M","-0.73%"
"16/04/2026","54,900.0","54,600.0","55,000.0","54,000.0","1.68M","0.55%"
"15/04/2026","54,600.0","56,400.0","56,700.0","54,600.0","2.34M","-3.02%"
"14/04/2026","56,300.0","54,600.0","57,300.0","54,000.0","4.53M","3.68%"
"13/04/2026","54,300.0","53,100.0","55,400.0","53,100.0","2.20M","0.56%"
"10/04/2026","54,000.0","52,500.0","54,900.0","51,700.0","3.82M","1.69%"
"09/04/2026","53,100.0","55,700.0","55,800.0","52,900.0","6.91M","-4.67%"
"08/04/2026","55,700.0","55,000.0","56,300.0","54,800.0","3.40M","2.77%"
"07/04/2026","54,200.0","53,300.0","54,200.0","52,500.0","1.79M","2.26%"
"06/04/2026","53,000.0","56,300.0","56,300.0","53,000.0","3.45M","-6.19%"
"03/04/2026","56,500.0","56,900.0","57,400.0","55,000.0","8.38M","4.63%"
"02/04/2026","54,000.0","50,400.0","54,000.0","49,600.0","4.40M","6.93%"
"01/04/2026","50,500.0","50,600.0","51,400.0","50,200.0","2.86M","0.60%"
"31/03/2026","50,200.0","49,500.0","51,500.0","49,500.0","2.51M","2.24%"
"30/03/2026","49,100.0","50,900.0","51,000.0","48,250.0","6.92M","-5.21%"
"27/03/2026","51,800.0","52,700.0","52,700.0","51,600.0","5.86M","-0.96%"
"26/03/2026","52,300.0","55,000.0","55,000.0","51,700.0","5.04M","-4.39%"
"25/03/2026","54,700.0","52,500.0","55,700.0","52,500.0","4.34M","4.19%"
