"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","75,500.0","73,400.0","75,500.0","73,400.0","9.16M","1.48%"
"28/04/2026","74,400.0","73,400.0","74,400.0","72,900.0","9.50M","1.36%"
"24/04/2026","73,400.0","74,000.0","74,100.0","73,200.0","10.46M","-1.21%"
"23/04/2026","74,300.0","75,000.0","76,000.0","74,100.0","7.97M","-0.40%"
"22/04/2026","74,600.0","75,500.0","75,500.0","74,100.0","8.15M","-0.67%"
"21/04/2026","75,100.0","77,000.0","77,400.0","75,100.0","7.12M","-2.34%"
"20/04/2026","76,900.0","76,300.0","77,000.0","76,100.0","6.88M","1.18%"
"17/04/2026","76,000.0","75,000.0","78,000.0","74,900.0","12.35M","2.56%"
"16/04/2026","74,100.0","75,600.0","75,600.0","74,000.0","11.32M","-1.33%"
"15/04/2026","75,100.0","76,900.0","77,000.0","75,000.0","10.05M","-1.44%"
"14/04/2026","76,200.0","77,000.0","77,200.0","76,000.0","7.09M","0.26%"
"13/04/2026","76,000.0","76,900.0","77,000.0","75,900.0","9.56M","-2.19%"
"10/04/2026","77,700.0","78,600.0","79,000.0","77,300.0","6.10M","-0.77%"
"09/04/2026","78,300.0","79,100.0","79,200.0","78,100.0","6.27M","-1.01%"
"08/04/2026","79,100.0","76,000.0","79,100.0","75,100.0","14.61M","6.89%"
"07/04/2026","74,000.0","74,500.0","74,500.0","73,800.0","4.71M","0.14%"
"06/04/2026","73,900.0","74,000.0","74,500.0","73,500.0","4.59M","-0.14%"
"03/04/2026","74,000.0","74,700.0","75,500.0","73,900.0","6.33M","-0.94%"
"02/04/2026","74,700.0","75,200.0","75,200.0","74,200.0","5.22M","-0.80%"
"01/04/2026","75,300.0","75,900.0","76,300.0","75,000.0","8.53M","0.80%"
"31/03/2026","74,700.0","74,900.0","75,500.0","74,400.0","5.64M","0.95%"
"30/03/2026","74,000.0","74,400.0","75,200.0","73,500.0","7.81M","-2.76%"
"27/03/2026","76,100.0","74,500.0","76,300.0","74,000.0","9.08M","2.56%"
"26/03/2026","74,200.0","77,000.0","77,000.0","74,200.0","9.74M","-3.64%"
"25/03/2026","77,000.0","76,200.0","77,000.0","75,600.0","7.43M","2.12%"
"24/03/2026","75,400.0","75,500.0","75,900.0","74,100.0","5.19M","3.15%"
"23/03/2026","73,100.0","73,700.0","76,100.0","71,600.0","13.16M","-2.01%"
"20/03/2026","74,600.0","76,500.0","76,500.0","73,600.0","21.42M","-2.86%"
"19/03/2026","76,800.0","77,700.0","77,800.0","76,600.0","11.60M","-2.29%"
"18/03/2026","78,600.0","80,000.0","80,200.0","78,100.0","6.35M","-1.01%"
"17/03/2026","79,400.0","79,400.0","81,300.0","79,100.0","9.22M","1.53%"
"16/03/2026","78,200.0","77,100.0","79,300.0","77,100.0","8.66M","1.56%"
"13/03/2026","77,000.0","77,100.0","78,500.0","76,300.0","9.03M","-0.90%"
"12/03/2026","77,700.0","78,800.0","79,200.0","77,500.0","12.72M","-3.12%"
"11/03/2026","80,200.0","80,000.0","81,000.0","78,300.0","10.65M","0.88%"
"10/03/2026","79,500.0","76,400.0","79,600.0","76,400.0","21.10M","4.74%"
"09/03/2026","75,900.0","76,000.0","76,700.0","75,900.0","17.63M","-6.99%"
"06/03/2026","81,600.0","84,400.0","84,600.0","81,500.0","23.71M","-3.32%"
"05/03/2026","84,400.0","86,500.0","86,800.0","84,400.0","15.91M","-0.82%"
"04/03/2026","85,100.0","86,900.0","87,000.0","84,200.0","23.76M","-2.18%"
"03/03/2026","87,000.0","90,100.0","90,900.0","87,000.0","16.50M","-2.90%"
"02/03/2026","89,600.0","90,100.0","91,500.0","89,300.0","17.25M","-3.55%"
"27/02/2026","92,900.0","91,000.0","93,500.0","90,300.0","18.71M","2.65%"
"26/02/2026","90,500.0","90,000.0","92,200.0","89,900.0","17.53M","1.57%"
"25/02/2026","89,100.0","92,200.0","92,500.0","89,000.0","47.73M","-3.68%"
"24/02/2026","92,500.0","94,000.0","94,000.0","92,500.0","28.54M","-2.12%"
"23/02/2026","94,500.0","96,800.0","96,800.0","93,100.0","22.66M","-1.87%"
"13/02/2026","96,300.0","98,100.0","98,500.0","96,300.0","18.51M","-2.53%"
"12/02/2026","98,800.0","99,000.0","99,200.0","98,400.0","4.13M","0.20%"
"11/02/2026","98,600.0","98,200.0","99,500.0","97,400.0","5.51M","0.82%"
"10/02/2026","97,800.0","99,900.0","99,900.0","97,300.0","6.11M","-1.21%"
"09/02/2026","99,000.0","98,800.0","99,400.0","97,900.0","5.11M","1.43%"
"06/02/2026","97,600.0","98,000.0","100,000.0","96,700.0","9.77M","-1.41%"
"05/02/2026","99,000.0","101,200.0","101,900.0","99,000.0","18.09M","-2.85%"
"04/02/2026","101,900.0","103,100.0","103,500.0","101,500.0","11.64M","-1.92%"
"03/02/2026","103,900.0","104,900.0","105,400.0","102,900.0","9.10M","-0.38%"
"02/02/2026","104,300.0","103,300.0","104,300.0","101,600.0","9.33M","-0.19%"
"30/01/2026","104,500.0","106,400.0","106,400.0","103,900.0","10.83M","-1.51%"
"29/01/2026","106,100.0","105,000.0","107,200.0","103,700.0","14.25M","1.53%"
"28/01/2026","104,500.0","102,400.0","105,800.0","102,300.0","11.95M","2.35%"
"27/01/2026","102,100.0","99,600.0","102,500.0","99,100.0","10.59M","3.65%"
"26/01/2026","98,500.0","100,200.0","101,600.0","98,000.0","11.18M","-2.48%"
"23/01/2026","101,000.0","103,600.0","104,600.0","101,000.0","9.42M","-2.42%"
