"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","75,200.0","73,500.0","75,400.0","73,000.0","1.27M","2.31%"
"28/04/2026","73,500.0","78,000.0","78,200.0","73,100.0","1.97M","-6.13%"
"24/04/2026","78,300.0","77,600.0","80,000.0","77,500.0","1.19M","1.16%"
"23/04/2026","77,400.0","78,100.0","79,500.0","75,900.0","1.49M","-0.90%"
"22/04/2026","78,100.0","79,000.0","79,800.0","78,100.0","760.60K","-0.76%"
"21/04/2026","78,700.0","79,300.0","80,100.0","78,500.0","1.36M","-0.63%"
"20/04/2026","79,200.0","80,000.0","81,300.0","79,000.0","1.21M","-1.12%"
"17/04/2026","80,100.0","78,600.0","80,400.0","78,100.0","1.25M","2.17%"
"16/04/2026","78,400.0","79,200.0","80,200.0","78,100.0","1.17M","-1.01%"
"15/04/2026","79,200.0","79,800.0","80,500.0","79,100.0","1.04M","-0.13%"
"14/04/2026","79,300.0","81,000.0","81,600.0","79,100.0","1.21M","-1.73%"
"13/04/2026","80,700.0","81,200.0","82,200.0","80,600.0","948.30K","0.00%"
"10/04/2026","80,700.0","78,600.0","82,400.0","78,200.0","2.86M","2.93%"
"09/04/2026","78,400.0","79,900.0","79,900.0","78,100.0","1.05M","-1.88%"
"08/04/2026","79,900.0","79,000.0","80,400.0","78,300.0","1.44M","3.36%"
"07/04/2026","77,300.0","78,500.0","79,400.0","75,800.0","1.24M","-1.53%"
"06/04/2026","78,500.0","80,200.0","80,300.0","78,100.0","1.17M","-1.51%"
"03/04/2026","79,700.0","80,000.0","80,900.0","79,600.0","1.93M","1.27%"
"02/04/2026","78,700.0","80,000.0","81,100.0","78,700.0","1.17M","-1.63%"
"01/04/2026","80,000.0","80,000.0","81,300.0","79,600.0","1.88M","2.17%"
"31/03/2026","78,300.0","81,600.0","81,600.0","78,100.0","2.43M","-3.09%"
"30/03/2026","80,800.0","82,100.0","83,200.0","80,400.0","2.03M","-1.58%"
"27/03/2026","82,100.0","80,400.0","82,600.0","79,900.0","2.02M","2.24%"
"26/03/2026","80,300.0","83,000.0","83,000.0","79,800.0","1.29M","-2.67%"
"25/03/2026","82,500.0","82,000.0","84,700.0","81,200.0","2.01M","2.23%"
"24/03/2026","80,700.0","82,000.0","82,700.0","78,800.0","1.89M","0.25%"
"23/03/2026","80,500.0","78,500.0","83,600.0","78,500.0","2.98M","-1.83%"
"20/03/2026","82,000.0","88,100.0","88,800.0","82,000.0","3.15M","-6.92%"
"19/03/2026","88,100.0","92,300.0","92,400.0","87,400.0","2.14M","-3.93%"
