"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","33,700","32,850","34,300","32,500","4.05M","2.12%"
"28/04/2026","33,000","33,300","33,400","32,300","2.41M","-1.05%"
"24/04/2026","33,350","32,700","33,500","32,700","3.03M","2.30%"
"23/04/2026","32,600","32,900","33,450","32,100","2.81M","-0.46%"
"22/04/2026","32,750","32,800","32,800","32,200","1.97M","0.31%"
"21/04/2026","32,650","33,000","33,200","32,450","2.50M","-1.06%"
"20/04/2026","33,000","33,500","33,750","32,850","2.06M","-1.49%"
"17/04/2026","33,500","32,400","34,150","32,250","7.67M","4.04%"
"16/04/2026","32,200","32,900","32,950","32,150","2.61M","-2.42%"
"15/04/2026","33,000","33,100","33,150","31,900","3.43M","0.92%"
"14/04/2026","32,700","33,000","33,100","32,350","2.53M","0.31%"
"13/04/2026","32,600","33,000","34,150","32,600","3.70M","-3.12%"
"10/04/2026","33,650","32,800","34,100","32,700","4.55M","2.59%"
"09/04/2026","32,800","32,700","33,000","32,350","2.44M","-1.20%"
"08/04/2026","33,200","32,500","33,400","32,050","3.92M","5.40%"
"07/04/2026","31,500","31,600","31,850","30,500","1.76M","0.16%"
"06/04/2026","31,450","31,900","31,900","30,850","1.82M","-1.87%"
"03/04/2026","32,050","32,100","32,900","31,500","2.70M","-0.16%"
"02/04/2026","32,100","31,800","32,650","31,800","2.49M","-1.23%"
"01/04/2026","32,500","32,500","33,000","32,300","3.23M","2.52%"
"31/03/2026","31,700","33,500","33,500","31,700","3.65M","-4.23%"
"30/03/2026","33,100","31,200","33,400","31,150","5.37M","3.12%"
"27/03/2026","32,100","30,000","32,100","30,000","4.46M","7.00%"
"26/03/2026","30,000","30,250","30,500","29,650","2.43M","-1.64%"
"25/03/2026","30,500","29,450","30,500","29,350","3.95M","6.27%"
"24/03/2026","28,700","29,300","29,850","28,600","3.82M","0.35%"
"23/03/2026","28,600","29,700","30,500","28,600","5.93M","-6.99%"
"20/03/2026","30,750","32,400","32,400","30,700","4.79M","-5.24%"
"19/03/2026","32,450","33,500","33,500","32,050","4.20M","-4.56%"
"18/03/2026","34,000","33,050","34,500","32,950","3.53M","2.10%"
"17/03/2026","33,300","33,900","34,100","33,200","2.76M","0.76%"
"16/03/2026","33,050","33,300","34,400","32,500","4.86M","-2.79%"
"13/03/2026","34,000","35,300","36,050","33,300","7.86M","-5.03%"
"12/03/2026","35,800","35,700","37,850","35,100","5.80M","0.42%"
"11/03/2026","35,650","33,350","35,650","33,350","4.18M","6.90%"
"10/03/2026","33,350","35,150","36,100","32,700","14.55M","-5.12%"
