"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","26,600.0","26,550.0","26,600.0","26,200.0","10.20M","0.00%"
"28/04/2026","26,600.0","26,700.0","26,950.0","26,600.0","7.83M","-1.12%"
"24/04/2026","26,900.0","26,650.0","27,000.0","26,500.0","15.00M","1.13%"
"23/04/2026","26,600.0","26,500.0","26,950.0","26,350.0","10.53M","0.19%"
"22/04/2026","26,550.0","26,600.0","26,700.0","26,250.0","11.11M","-0.56%"
"21/04/2026","26,700.0","27,000.0","27,100.0","26,650.0","9.48M","-0.74%"
"20/04/2026","26,900.0","26,200.0","26,950.0","26,200.0","19.17M","2.67%"
"17/04/2026","26,200.0","26,300.0","26,500.0","26,050.0","12.05M","0.38%"
"16/04/2026","26,100.0","26,350.0","26,400.0","26,100.0","7.88M","-0.95%"
"15/04/2026","26,350.0","26,400.0","26,500.0","26,150.0","11.30M","0.96%"
"14/04/2026","26,100.0","26,150.0","26,450.0","26,050.0","11.23M","0.77%"
"13/04/2026","25,900.0","26,000.0","26,150.0","25,750.0","9.43M","-0.96%"
"10/04/2026","26,150.0","26,350.0","26,700.0","26,150.0","10.81M","0.38%"
"09/04/2026","26,050.0","26,250.0","26,250.0","25,900.0","9.92M","-1.14%"
"08/04/2026","26,350.0","25,700.0","26,500.0","25,550.0","23.66M","4.98%"
"07/04/2026","25,100.0","25,550.0","25,550.0","25,050.0","14.28M","-1.95%"
"06/04/2026","25,600.0","25,500.0","25,700.0","25,250.0","13.41M","0.00%"
"03/04/2026","25,600.0","25,650.0","25,700.0","25,150.0","13.99M","0.00%"
"02/04/2026","25,600.0","25,600.0","25,650.0","25,250.0","13.79M","0.00%"
"01/04/2026","25,600.0","25,800.0","26,000.0","25,600.0","13.77M","0.59%"
"31/03/2026","25,450.0","25,100.0","25,500.0","25,000.0","17.46M","0.99%"
"30/03/2026","25,200.0","24,800.0","25,300.0","24,550.0","14.53M","-0.40%"
"27/03/2026","25,300.0","24,600.0","25,350.0","24,550.0","14.61M","3.05%"
"26/03/2026","24,550.0","24,950.0","25,000.0","24,500.0","9.14M","-1.41%"
"25/03/2026","24,900.0","24,500.0","25,000.0","24,500.0","11.11M","2.47%"
"24/03/2026","24,300.0","24,500.0","24,900.0","24,250.0","13.46M","0.00%"
"23/03/2026","24,300.0","24,750.0","24,750.0","23,800.0","24.48M","-2.80%"
"20/03/2026","25,000.0","25,500.0","25,500.0","24,900.0","12.20M","-2.53%"
"19/03/2026","25,650.0","25,500.0","25,700.0","25,250.0","13.07M","-0.19%"
"18/03/2026","25,700.0","25,700.0","26,000.0","25,250.0","9.74M","0.00%"
"17/03/2026","25,700.0","25,700.0","26,200.0","25,650.0","11.72M","0.39%"
"16/03/2026","25,600.0","25,500.0","25,650.0","25,200.0","6.91M","0.00%"
"13/03/2026","25,600.0","25,300.0","25,750.0","25,200.0","8.90M","-0.39%"
"12/03/2026","25,700.0","25,300.0","25,750.0","25,100.0","11.64M","-0.19%"
"11/03/2026","25,750.0","25,150.0","26,000.0","24,950.0","14.82M","2.39%"
"10/03/2026","25,150.0","25,000.0","25,750.0","24,600.0","24.49M","4.36%"
"09/03/2026","24,100.0","24,100.0","25,500.0","24,100.0","28.18M","-6.95%"
"06/03/2026","25,900.0","25,900.0","26,200.0","25,600.0","11.70M","-0.19%"
"05/03/2026","25,950.0","26,500.0","26,600.0","25,950.0","18.27M","-1.52%"
"04/03/2026","26,350.0","26,400.0","26,600.0","25,700.0","17.90M","-0.57%"
"03/03/2026","26,500.0","27,000.0","27,100.0","26,300.0","19.34M","-1.67%"
"02/03/2026","26,950.0","27,300.0","27,650.0","26,950.0","23.02M","-3.58%"
"27/02/2026","27,950.0","28,400.0","28,400.0","27,950.0","13.12M","-1.58%"
"26/02/2026","28,400.0","28,500.0","28,550.0","27,950.0","14.13M","-0.18%"
"25/02/2026","28,450.0","28,500.0","28,850.0","28,200.0","18.49M","-0.18%"
"24/02/2026","28,500.0","28,100.0","28,500.0","27,750.0","22.58M","1.06%"
"23/02/2026","28,200.0","28,300.0","28,500.0","28,050.0","10.14M","0.00%"
"13/02/2026","28,200.0","27,750.0","28,200.0","27,700.0","14.48M","1.26%"
"12/02/2026","27,850.0","27,850.0","28,000.0","27,650.0","9.61M","0.18%"
"11/02/2026","27,800.0","26,750.0","27,950.0","26,650.0","29.25M","3.73%"
"10/02/2026","26,800.0","26,850.0","26,900.0","26,000.0","12.37M","0.00%"
"09/02/2026","26,800.0","26,750.0","26,800.0","26,250.0","13.14M","1.13%"
"06/02/2026","26,500.0","27,200.0","27,500.0","26,500.0","27.19M","-3.81%"
"05/02/2026","27,550.0","27,550.0","27,900.0","27,250.0","17.05M","0.00%"
"04/02/2026","27,550.0","27,550.0","27,600.0","27,200.0","13.38M","0.00%"
"03/02/2026","27,550.0","27,900.0","28,000.0","27,350.0","20.46M","-0.90%"
"02/02/2026","27,800.0","28,000.0","28,250.0","27,250.0","16.11M","-1.77%"
"30/01/2026","28,300.0","27,900.0","28,400.0","27,800.0","15.99M","1.62%"
