"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","27,750.0","27,650.0","27,900.0","27,600.0","17.24M","0.00%"
"28/04/2026","27,750.0","27,800.0","28,000.0","27,700.0","14.07M","-0.54%"
"24/04/2026","27,900.0","27,900.0","27,950.0","27,500.0","23.40M","0.36%"
"23/04/2026","27,800.0","28,200.0","28,350.0","27,600.0","41.13M","-1.42%"
"22/04/2026","28,200.0","28,550.0","28,700.0","28,050.0","27.75M","-1.23%"
"21/04/2026","28,550.0","29,150.0","29,450.0","28,500.0","99.65M","0.35%"
"20/04/2026","28,450.0","28,150.0","28,450.0","28,050.0","26.44M","1.61%"
"17/04/2026","28,000.0","27,950.0","28,250.0","27,900.0","21.40M","0.18%"
"16/04/2026","27,950.0","28,050.0","28,200.0","27,750.0","27.97M","-0.36%"
"15/04/2026","28,050.0","28,700.0","28,750.0","28,050.0","29.75M","-1.75%"
"14/04/2026","28,550.0","28,100.0","28,800.0","27,950.0","61.93M","2.70%"
"13/04/2026","27,800.0","27,850.0","28,150.0","27,800.0","23.01M","-0.71%"
"10/04/2026","28,000.0","28,600.0","28,600.0","28,000.0","35.47M","-0.88%"
"09/04/2026","28,250.0","27,900.0","28,600.0","27,650.0","51.61M","0.89%"
"08/04/2026","28,000.0","27,500.0","28,050.0","27,400.0","67.65M","4.48%"
"07/04/2026","26,800.0","26,800.0","27,100.0","26,750.0","13.16M","-0.19%"
"06/04/2026","26,850.0","26,650.0","27,100.0","26,600.0","19.75M","0.75%"
"03/04/2026","26,650.0","27,350.0","27,400.0","26,600.0","31.38M","-2.56%"
"02/04/2026","27,350.0","27,000.0","27,500.0","26,750.0","50.01M","0.74%"
"01/04/2026","27,150.0","27,350.0","27,450.0","27,100.0","31.50M","0.93%"
"31/03/2026","26,900.0","27,050.0","27,250.0","26,800.0","23.55M","0.00%"
"30/03/2026","26,900.0","26,150.0","27,100.0","25,950.0","41.28M","1.51%"
"27/03/2026","26,500.0","25,950.0","26,700.0","25,850.0","26.86M","2.32%"
"26/03/2026","25,900.0","26,300.0","26,350.0","25,900.0","18.42M","-1.71%"
"25/03/2026","26,350.0","26,300.0","26,400.0","26,100.0","22.97M","1.54%"
"24/03/2026","25,950.0","26,000.0","26,300.0","25,850.0","27.78M","1.76%"
"23/03/2026","25,500.0","25,650.0","26,200.0","25,250.0","44.36M","-1.54%"
"20/03/2026","25,900.0","26,500.0","26,550.0","25,900.0","60.89M","-3.00%"
"19/03/2026","26,700.0","26,500.0","26,850.0","26,350.0","36.84M","-0.37%"
"18/03/2026","26,800.0","26,900.0","27,150.0","26,650.0","23.06M","-0.37%"
"17/03/2026","26,900.0","27,000.0","27,350.0","26,900.0","24.18M","0.56%"
