"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","47,300","45,600","47,450","45,300","1.35M","3.73%"
"28/04/2026","45,600","46,300","46,800","45,150","952.10K","-1.51%"
"24/04/2026","46,300","47,000","47,000","45,800","586.30K","-0.43%"
"23/04/2026","46,500","47,250","47,400","46,450","1.12M","-1.06%"
"22/04/2026","47,000","47,350","47,350","46,150","1.63M","-0.11%"
"21/04/2026","47,050","46,550","48,800","46,200","1.90M","2.28%"
"20/04/2026","46,000","46,700","47,800","46,000","1.07M","0.00%"
"17/04/2026","46,000","47,900","47,900","46,000","1.23M","-2.75%"
"16/04/2026","47,300","47,950","47,950","47,050","814.90K","-0.84%"
"15/04/2026","47,700","48,600","48,700","47,700","985.70K","-0.63%"
"14/04/2026","48,000","48,500","49,850","48,000","1.89M","0.10%"
"13/04/2026","47,950","49,400","50,100","47,850","1.84M","-2.74%"
"10/04/2026","49,300","49,350","49,850","48,000","2.19M","2.71%"
"09/04/2026","48,000","47,600","49,400","47,250","1.64M","1.05%"
"08/04/2026","47,500","49,000","50,000","47,450","1.74M","-1.04%"
"07/04/2026","48,000","46,600","48,550","46,400","3.62M","4.12%"
"06/04/2026","46,100","43,500","46,100","43,350","4.02M","6.96%"
"03/04/2026","43,100","41,800","43,500","41,800","2.03M","3.11%"
"02/04/2026","41,800","42,600","42,600","41,450","995.00K","-1.42%"
"01/04/2026","42,400","42,300","42,700","41,950","1.74M","1.19%"
"31/03/2026","41,900","42,050","42,350","41,500","1.07M","-0.12%"
"30/03/2026","41,950","41,800","42,100","41,200","1.05M","0.36%"
"27/03/2026","41,800","41,800","42,200","41,700","1.15M","0.00%"
"26/03/2026","41,800","41,900","42,000","41,450","636.80K","0.00%"
"25/03/2026","41,800","42,000","42,300","41,450","953.70K","-0.24%"
"24/03/2026","41,900","41,300","41,950","40,950","1.02M","1.82%"
"23/03/2026","41,150","41,100","42,550","40,950","745.30K","0.12%"
"20/03/2026","41,100","43,900","44,000","41,050","1.92M","-6.38%"
"19/03/2026","43,900","43,650","43,900","41,500","4.45M","0.57%"
"18/03/2026","43,650","43,750","44,500","43,300","2.20M","0.69%"
"17/03/2026","43,350","42,300","44,100","42,200","3.41M","3.21%"
"16/03/2026","42,000","41,600","42,000","40,900","1.22M","1.20%"
"13/03/2026","41,500","41,100","41,800","40,900","1.68M","0.97%"
"12/03/2026","41,100","41,500","41,600","40,600","2.17M","-1.44%"
"11/03/2026","41,700","40,550","41,800","39,800","2.28M","2.71%"
