"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","26,050.0","26,000.0","26,150.0","25,850.0","13.29M","0.19%"
"28/04/2026","26,000.0","26,200.0","26,250.0","26,000.0","12.57M","-0.76%"
"24/04/2026","26,200.0","26,400.0","26,400.0","26,200.0","9.07M","-0.76%"
"23/04/2026","26,400.0","26,200.0","27,000.0","26,150.0","15.29M","0.76%"
"22/04/2026","26,200.0","26,350.0","26,400.0","26,100.0","8.42M","-0.38%"
"21/04/2026","26,300.0","26,400.0","26,600.0","26,300.0","13.04M","-0.19%"
"20/04/2026","26,350.0","26,450.0","26,600.0","26,350.0","13.28M","-0.38%"
"17/04/2026","26,450.0","26,300.0","26,600.0","26,300.0","8.60M","0.57%"
"16/04/2026","26,300.0","26,500.0","26,600.0","26,200.0","12.84M","-1.13%"
"15/04/2026","26,600.0","26,700.0","26,850.0","26,600.0","11.55M","-0.37%"
"14/04/2026","26,700.0","26,700.0","26,800.0","26,500.0","16.26M","0.95%"
"13/04/2026","26,450.0","26,350.0","26,650.0","26,250.0","15.03M","-0.94%"
"10/04/2026","26,700.0","26,800.0","27,100.0","26,650.0","30.33M","0.75%"
"09/04/2026","26,500.0","26,500.0","26,700.0","26,350.0","14.98M","-0.38%"
"08/04/2026","26,600.0","26,450.0","26,650.0","26,100.0","33.41M","3.91%"
"07/04/2026","25,600.0","25,750.0","25,800.0","25,450.0","15.32M","-0.19%"
"06/04/2026","25,650.0","26,000.0","26,000.0","25,600.0","11.66M","-1.16%"
"03/04/2026","25,950.0","26,300.0","26,450.0","25,950.0","10.97M","-1.33%"
"02/04/2026","26,300.0","26,500.0","26,550.0","25,900.0","23.39M","-0.75%"
"01/04/2026","26,500.0","27,000.0","27,100.0","26,500.0","18.95M","0.19%"
"31/03/2026","26,450.0","25,950.0","26,700.0","25,950.0","20.97M","2.72%"
"30/03/2026","25,750.0","25,800.0","26,100.0","25,650.0","11.21M","-1.53%"
"27/03/2026","26,150.0","25,750.0","26,200.0","25,600.0","12.87M","1.36%"
"26/03/2026","25,800.0","26,350.0","26,350.0","25,700.0","13.68M","-0.77%"
"25/03/2026","26,000.0","25,950.0","26,250.0","25,850.0","13.83M","1.56%"
"24/03/2026","25,600.0","25,750.0","26,000.0","25,400.0","13.04M","2.40%"
"23/03/2026","25,000.0","25,600.0","25,650.0","24,850.0","21.67M","-3.66%"
"20/03/2026","25,950.0","26,300.0","26,350.0","25,950.0","13.31M","-1.70%"
"19/03/2026","26,400.0","26,050.0","26,500.0","25,900.0","19.72M","0.38%"
"18/03/2026","26,300.0","26,700.0","26,900.0","25,750.0","14.93M","-0.19%"
"17/03/2026","26,350.0","26,400.0","26,750.0","26,250.0","9.51M","0.96%"
"16/03/2026","26,100.0","26,150.0","26,500.0","26,100.0","12.45M","-0.19%"
"13/03/2026","26,150.0","26,200.0","26,500.0","25,800.0","17.31M","-0.38%"
"12/03/2026","26,250.0","26,500.0","26,800.0","26,000.0","19.08M","-2.05%"
"11/03/2026","26,800.0","26,550.0","27,000.0","26,450.0","22.21M","0.94%"
"10/03/2026","26,550.0","26,100.0","26,550.0","25,600.0","37.84M","6.84%"
"09/03/2026","24,850.0","24,900.0","25,650.0","24,850.0","73.06M","-6.93%"
"06/03/2026","26,700.0","27,100.0","27,150.0","26,650.0","22.17M","-1.29%"
"05/03/2026","27,050.0","27,450.0","27,550.0","27,000.0","17.31M","0.37%"
"04/03/2026","26,950.0","27,100.0","27,400.0","26,350.0","42.11M","-0.37%"
"03/03/2026","27,050.0","27,750.0","27,850.0","27,000.0","42.24M","-2.17%"
"02/03/2026","27,650.0","28,000.0","28,200.0","27,600.0","51.18M","-2.98%"
"27/02/2026","28,500.0","28,750.0","28,850.0","28,500.0","14.85M","-1.04%"
"26/02/2026","28,800.0","28,900.0","29,100.0","28,450.0","16.06M","0.17%"
"25/02/2026","28,750.0","28,500.0","29,300.0","28,300.0","28.09M","1.77%"
"24/02/2026","28,250.0","28,500.0","28,500.0","28,150.0","27.19M","-0.35%"
"23/02/2026","28,350.0","28,800.0","28,850.0","28,300.0","19.04M","0.18%"
"13/02/2026","28,300.0","28,600.0","28,600.0","28,300.0","21.37M","-0.18%"
"12/02/2026","28,350.0","29,300.0","29,300.0","28,300.0","27.98M","-2.24%"
"11/02/2026","29,000.0","28,100.0","29,500.0","28,050.0","104.58M","4.13%"
"10/02/2026","27,850.0","27,800.0","28,500.0","27,500.0","51.32M","0.91%"
"09/02/2026","27,600.0","27,800.0","28,100.0","27,400.0","25.41M","0.91%"
"06/02/2026","27,350.0","27,000.0","28,100.0","26,450.0","49.96M","1.11%"
