"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","76,800","77,000","77,400","76,100","4.03M","-0.78%"
"28/04/2026","77,400","77,200","77,900","76,700","3.73M","0.26%"
"24/04/2026","77,200","79,000","79,600","77,200","7.80M","-1.28%"
"23/04/2026","78,200","79,200","79,300","77,100","6.07M","-1.01%"
"22/04/2026","79,000","78,900","79,200","78,100","4.82M","0.00%"
"21/04/2026","79,000","80,000","80,900","78,800","7.45M","-1.00%"
"20/04/2026","79,800","80,000","80,400","79,300","5.21M","0.38%"
"17/04/2026","79,500","78,300","82,500","78,300","13.60M","1.92%"
"16/04/2026","78,000","77,200","78,800","76,700","7.35M","1.04%"
"15/04/2026","77,200","78,400","78,400","77,000","4.32M","-0.52%"
"14/04/2026","77,600","77,700","78,000","77,000","4.52M","0.78%"
"13/04/2026","77,000","77,200","77,600","76,400","5.03M","-1.28%"
"10/04/2026","78,000","78,500","78,700","77,500","3.90M","0.00%"
"09/04/2026","78,000","77,600","79,500","76,800","6.33M","0.39%"
"08/04/2026","77,700","77,200","77,800","76,300","10.01M","3.46%"
"07/04/2026","75,100","75,400","75,700","74,300","3.19M","-0.27%"
"06/04/2026","75,300","75,100","76,200","74,500","4.24M","0.00%"
"03/04/2026","75,300","76,200","77,100","74,800","5.24M","-1.05%"
"02/04/2026","76,100","76,600","76,700","75,300","5.42M","-1.04%"
"01/04/2026","76,900","76,800","77,400","75,900","8.28M","1.85%"
"31/03/2026","75,500","75,500","76,400","75,000","5.91M","0.94%"
"30/03/2026","74,800","72,000","75,300","71,800","6.57M","2.05%"
"27/03/2026","73,300","72,200","73,400","72,200","4.26M","1.66%"
"26/03/2026","72,100","73,000","73,200","71,800","4.01M","-1.50%"
"25/03/2026","73,200","73,500","73,500","72,200","4.08M","1.53%"
"24/03/2026","72,100","72,500","72,800","71,700","3.69M","1.84%"
"23/03/2026","70,800","70,600","72,800","70,600","8.31M","-0.70%"
"20/03/2026","71,300","75,100","75,500","71,300","8.88M","-5.44%"
"19/03/2026","75,400","73,600","75,700","73,500","8.22M","0.13%"
"18/03/2026","75,300","75,800","75,800","74,000","5.03M","-0.13%"
"17/03/2026","75,400","74,000","75,700","73,800","8.48M","2.59%"
"16/03/2026","73,500","74,700","75,200","73,400","4.58M","-0.54%"
"13/03/2026","73,900","73,400","74,700","72,700","8.34M","1.09%"
"12/03/2026","73,100","73,200","74,500","71,800","8.49M","0.14%"
"11/03/2026","73,000","69,300","73,000","69,100","10.58M","6.88%"
"10/03/2026","68,300","69,000","69,800","66,100","13.57M","0.15%"
"09/03/2026","68,200","68,200","70,000","68,200","4.33M","-6.96%"
"06/03/2026","73,300","74,900","75,000","73,200","7.96M","-2.66%"
"05/03/2026","75,300","76,800","77,500","75,300","6.07M","-0.92%"
"04/03/2026","76,000","77,100","77,600","74,000","11.19M","-1.30%"
"03/03/2026","77,000","79,200","79,700","77,000","7.77M","-1.79%"
"02/03/2026","78,400","77,800","80,700","77,300","10.25M","-0.76%"
"27/02/2026","79,000","80,500","80,600","79,000","5.05M","-1.74%"
"26/02/2026","80,400","80,700","81,200","79,900","4.99M","0.12%"
"25/02/2026","80,300","81,300","81,600","80,300","5.85M","-0.74%"
"24/02/2026","80,900","79,300","80,900","78,600","8.48M","2.15%"
"23/02/2026","79,200","78,800","79,200","78,300","3.79M","1.54%"
"13/02/2026","78,000","78,000","78,300","77,700","3.96M","0.00%"
"12/02/2026","78,000","78,400","78,400","78,000","2.76M","0.00%"
"11/02/2026","78,000","77,300","78,600","76,900","5.60M","1.56%"
"10/02/2026","76,800","78,200","78,400","75,600","6.02M","-1.79%"
"09/02/2026","78,200","79,000","79,200","78,000","3.68M","0.00%"
"06/02/2026","78,200","78,400","79,500","77,700","9.42M","-1.51%"
"05/02/2026","79,400","82,800","82,900","79,400","10.43M","-3.99%"
"04/02/2026","82,700","84,100","84,900","82,500","8.32M","-1.31%"
"03/02/2026","83,800","84,500","84,800","83,300","8.43M","0.00%"
