"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","84,000","85,000","85,700","84,000","4.90M","-1.87%"
"28/04/2026","85,600","83,700","85,900","83,700","5.38M","2.51%"
"24/04/2026","83,500","84,500","85,200","83,500","4.63M","-1.18%"
"23/04/2026","84,500","86,400","86,800","84,300","5.42M","-2.20%"
"22/04/2026","86,400","85,400","86,400","84,800","9.17M","0.93%"
"21/04/2026","85,600","87,400","87,400","85,600","7.23M","-1.95%"
"20/04/2026","87,300","87,500","88,500","86,400","10.17M","0.46%"
"17/04/2026","86,900","82,600","86,900","82,500","15.09M","6.89%"
"16/04/2026","81,300","80,200","82,000","80,200","5.78M","1.63%"
"15/04/2026","80,000","82,000","82,000","80,000","3.80M","-1.96%"
"14/04/2026","81,600","82,100","82,700","81,400","4.60M","0.37%"
"13/04/2026","81,300","80,800","81,300","79,800","4.81M","-0.25%"
"10/04/2026","81,500","81,300","82,200","81,000","4.67M","0.99%"
"09/04/2026","80,700","80,900","82,000","80,700","3.65M","-1.47%"
"08/04/2026","81,900","80,600","82,000","79,900","10.19M","5.00%"
"07/04/2026","78,000","78,400","78,800","76,600","3.81M","-0.38%"
"06/04/2026","78,300","78,300","79,300","77,600","6.41M","-1.26%"
"03/04/2026","79,300","81,500","81,500","79,200","6.90M","-3.06%"
"02/04/2026","81,800","81,800","81,800","80,000","5.68M","-0.73%"
"01/04/2026","82,400","83,000","83,900","81,800","5.74M","0.73%"
"31/03/2026","81,800","80,800","82,100","80,500","6.58M","1.24%"
"30/03/2026","80,800","78,900","80,800","78,600","6.03M","-0.25%"
"27/03/2026","81,000","78,600","81,800","78,200","7.60M","3.18%"
"26/03/2026","78,500","78,000","78,900","77,400","7.07M","-0.88%"
"25/03/2026","79,200","77,000","79,500","76,800","7.55M","4.21%"
"24/03/2026","76,000","76,600","76,800","75,000","7.90M","2.43%"
"23/03/2026","74,200","78,000","78,100","74,200","17.47M","-6.90%"
"20/03/2026","79,700","82,100","82,100","79,700","6.49M","-3.28%"
"19/03/2026","82,400","82,000","82,600","81,400","7.92M","-1.55%"
"18/03/2026","83,700","82,800","84,300","82,400","4.30M","1.21%"
"17/03/2026","82,700","81,500","83,800","81,500","3.81M","2.61%"
"16/03/2026","80,600","81,900","82,200","80,400","5.28M","-1.71%"
"13/03/2026","82,000","84,500","84,500","82,000","6.26M","-3.07%"
"12/03/2026","84,600","84,000","86,500","83,100","10.10M","-2.20%"
"11/03/2026","86,500","81,000","86,600","80,500","17.34M","6.79%"
"10/03/2026","81,000","79,000","81,800","77,400","21.04M","5.19%"
"09/03/2026","77,000","77,000","77,000","77,000","4.98M","-6.89%"
"06/03/2026","82,700","84,800","84,800","81,700","13.36M","-2.93%"
"05/03/2026","85,200","88,900","89,000","85,200","11.27M","-4.05%"
"04/03/2026","88,800","87,100","88,800","83,800","13.41M","0.68%"
"03/03/2026","88,200","90,200","91,200","86,900","13.37M","-2.00%"
"02/03/2026","90,000","91,800","92,200","90,000","10.74M","-3.33%"
"27/02/2026","93,100","93,700","93,900","92,600","5.22M","-0.53%"
"26/02/2026","93,600","93,000","94,300","92,500","5.01M","0.65%"
"25/02/2026","93,000","92,200","94,100","92,000","8.13M","0.87%"
"24/02/2026","92,200","91,600","92,200","90,500","6.60M","0.22%"
"23/02/2026","92,000","92,900","93,100","91,100","5.00M","-0.86%"
"13/02/2026","92,800","91,900","93,200","91,500","5.51M","-0.11%"
"12/02/2026","92,900","92,500","93,900","91,100","7.89M","1.09%"
"11/02/2026","91,900","89,500","91,900","89,300","8.99M","2.91%"
"10/02/2026","89,300","89,700","89,700","87,800","5.95M","0.00%"
"09/02/2026","89,300","89,000","90,000","88,500","5.45M","1.02%"
"06/02/2026","88,400","89,700","89,900","86,000","13.81M","-2.00%"
"05/02/2026","90,200","91,700","91,800","90,200","5.64M","-1.74%"
"04/02/2026","91,800","91,500","91,900","90,600","7.66M","0.33%"
"03/02/2026","91,500","94,400","94,400","91,500","10.13M","-2.35%"
"02/02/2026","93,700","93,100","93,900","90,500","13.87M","0.86%"
"30/01/2026","92,900","90,000","93,400","89,800","20.85M","3.80%"
"29/01/2026","89,500","85,700","89,500","85,300","15.89M","4.68%"
"28/01/2026","85,500","84,900","85,800","84,300","6.09M","0.59%"
"27/01/2026","85,000","84,200","85,800","84,000","5.42M","1.07%"
"26/01/2026","84,100","85,800","85,900","83,900","6.03M","-1.98%"
"23/01/2026","85,800","86,600","87,700","85,800","6.72M","-0.81%"
