"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","37,150.0","37,000.0","37,450.0","36,250.0","3.56M","0.54%"
"28/04/2026","36,950.0","38,200.0","39,200.0","36,950.0","6.50M","-6.93%"
"24/04/2026","39,700.0","39,650.0","41,350.0","39,550.0","6.40M","1.02%"
"23/04/2026","39,300.0","39,100.0","39,700.0","38,000.0","3.79M","0.77%"
"22/04/2026","39,000.0","39,600.0","39,600.0","39,000.0","1.91M","-0.89%"
"21/04/2026","39,350.0","39,450.0","40,000.0","39,300.0","1.99M","-0.25%"
"20/04/2026","39,450.0","40,100.0","40,300.0","39,300.0","1.77M","-1.25%"
"17/04/2026","39,950.0","39,400.0","40,450.0","38,950.0","2.90M","2.17%"
"16/04/2026","39,100.0","40,100.0","40,100.0","38,900.0","3.33M","-1.76%"
"15/04/2026","39,800.0","40,150.0","40,700.0","39,650.0","2.86M","-0.87%"
"14/04/2026","40,150.0","41,200.0","41,200.0","40,100.0","2.22M","-1.35%"
"13/04/2026","40,700.0","41,900.0","41,950.0","40,500.0","3.02M","-1.09%"
"10/04/2026","41,150.0","39,950.0","42,000.0","39,550.0","5.70M","4.18%"
"09/04/2026","39,500.0","40,500.0","40,500.0","39,500.0","2.98M","-2.47%"
"08/04/2026","40,500.0","39,500.0","40,750.0","38,950.0","3.49M","4.92%"
"07/04/2026","38,600.0","38,950.0","39,550.0","38,550.0","1.98M","-0.77%"
"06/04/2026","38,900.0","40,200.0","40,200.0","38,900.0","3.12M","-3.23%"
"03/04/2026","40,200.0","40,900.0","41,350.0","40,200.0","2.93M","-0.50%"
"02/04/2026","40,400.0","41,000.0","41,450.0","40,050.0","2.56M","-0.74%"
"01/04/2026","40,700.0","41,100.0","41,850.0","40,500.0","4.26M","0.74%"
"31/03/2026","40,400.0","41,900.0","41,900.0","40,350.0","4.15M","-2.42%"
"30/03/2026","41,400.0","42,000.0","43,000.0","41,400.0","5.42M","-2.01%"
"27/03/2026","42,250.0","40,200.0","42,400.0","40,000.0","6.10M","5.89%"
"26/03/2026","39,900.0","41,300.0","41,300.0","39,700.0","4.22M","-3.39%"
"25/03/2026","41,300.0","40,400.0","42,300.0","40,400.0","4.32M","3.77%"
"24/03/2026","39,800.0","42,000.0","42,100.0","38,500.0","8.81M","-2.93%"
