"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","47,500","48,000","48,500","47,500","590.70K","-2.06%"
"28/04/2026","48,500","47,250","49,400","47,100","1.52M","3.19%"
"24/04/2026","47,000","48,100","48,100","46,650","825.90K","-2.49%"
"23/04/2026","48,200","45,050","48,200","44,850","3.37M","6.99%"
"22/04/2026","45,050","45,200","45,300","44,800","621.60K","-0.22%"
"21/04/2026","45,150","45,700","45,700","45,150","486.70K","-0.77%"
"20/04/2026","45,500","45,500","45,900","45,350","249.10K","0.00%"
"17/04/2026","45,500","46,000","46,450","45,300","676.00K","-0.55%"
"16/04/2026","45,750","46,200","46,200","45,300","349.40K","-0.87%"
"15/04/2026","46,150","45,650","46,350","45,150","805.70K","2.21%"
"14/04/2026","45,150","45,750","45,950","45,050","554.90K","-0.66%"
"13/04/2026","45,450","45,500","46,000","45,250","427.50K","-0.76%"
"10/04/2026","45,800","45,150","45,950","45,150","627.60K","1.55%"
"09/04/2026","45,100","45,000","45,450","44,850","510.70K","-0.66%"
"08/04/2026","45,400","44,950","45,550","44,500","901.30K","3.06%"
"07/04/2026","44,050","44,450","44,600","43,900","408.50K","-0.79%"
"06/04/2026","44,400","44,200","44,750","44,050","640.80K","0.68%"
"03/04/2026","44,100","44,600","44,750","44,100","543.60K","-0.23%"
"02/04/2026","44,200","44,700","44,700","44,100","401.60K","-0.67%"
"01/04/2026","44,500","44,750","44,800","44,350","469.20K","0.45%"
"31/03/2026","44,300","44,250","44,650","44,150","413.50K","0.34%"
"30/03/2026","44,150","43,900","44,550","42,050","668.10K","0.00%"
"27/03/2026","44,150","44,000","44,350","43,750","346.70K","0.91%"
"26/03/2026","43,750","44,650","44,650","43,600","472.10K","-2.23%"
"25/03/2026","44,750","44,800","45,150","44,400","817.40K","-0.78%"
"24/03/2026","45,100","43,450","45,100","43,250","779.50K","5.13%"
"23/03/2026","42,900","42,500","43,200","42,200","789.20K","0.70%"
"20/03/2026","42,600","44,350","44,350","42,600","1.02M","-3.95%"
"19/03/2026","44,350","44,350","44,450","43,600","840.60K","-0.22%"
"18/03/2026","44,450","44,500","44,850","43,900","577.10K","0.23%"
"17/03/2026","44,350","44,500","45,200","44,350","700.80K","-0.34%"
"16/03/2026","44,500","44,200","44,650","44,100","465.90K","0.23%"
"13/03/2026","44,400","43,750","44,650","43,650","599.50K","1.49%"
"12/03/2026","43,750","44,650","44,650","43,700","824.20K","-2.34%"
"11/03/2026","44,800","44,600","45,000","44,050","966.30K","0.11%"
"10/03/2026","44,750","43,600","44,750","43,100","1.47M","5.42%"
"09/03/2026","42,450","43,750","44,000","42,450","3.54M","-6.91%"
"06/03/2026","45,600","45,650","46,200","45,550","804.60K","-0.11%"
"05/03/2026","45,650","46,150","46,450","45,650","768.20K","-0.76%"
"04/03/2026","46,000","46,050","46,500","45,200","1.33M","0.00%"
"03/03/2026","46,000","47,000","47,450","45,300","2.42M","-2.54%"
"02/03/2026","47,200","47,050","47,850","47,000","1.62M","-2.48%"
"27/02/2026","48,400","49,100","49,200","48,350","1.20M","-1.43%"
"26/02/2026","49,100","49,500","49,550","48,800","1.11M","-0.20%"
"25/02/2026","49,200","48,800","49,900","48,800","1.34M","0.82%"
"24/02/2026","48,800","48,850","49,250","48,650","812.40K","-0.10%"
"23/02/2026","48,850","48,600","49,150","48,600","747.40K","0.72%"
"13/02/2026","48,500","49,000","49,000","48,400","758.90K","-0.61%"
"12/02/2026","48,800","48,700","49,200","48,500","508.40K","0.21%"
"11/02/2026","48,700","48,400","48,800","48,050","675.50K","0.72%"
"10/02/2026","48,350","49,450","49,650","47,750","1.28M","-2.22%"
"09/02/2026","49,450","48,900","49,450","48,900","519.80K","1.44%"
"06/02/2026","48,750","49,500","49,800","48,700","1.89M","-2.69%"
"05/02/2026","50,100","52,200","52,200","50,000","1.68M","-3.09%"
"04/02/2026","51,700","52,400","53,300","51,600","1.56M","-0.77%"
"03/02/2026","52,100","50,900","52,400","50,300","2.56M","4.41%"
"02/02/2026","49,900","49,900","50,900","49,200","1.19M","0.00%"
"30/01/2026","49,900","51,000","51,400","49,900","1.72M","-0.80%"
"29/01/2026","50,300","49,100","50,600","49,000","1.62M","2.76%"
"28/01/2026","48,950","49,900","50,300","48,750","1.15M","-1.21%"
"27/01/2026","49,550","48,950","49,550","48,250","1.29M","2.16%"
"26/01/2026","48,500","49,300","50,000","48,300","1.69M","-1.62%"
