"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","14,550.0","14,550.0","14,600.0","14,350.0","41.65M","0.69%"
"28/04/2026","14,450.0","14,750.0","14,750.0","14,450.0","51.56M","-2.03%"
"24/04/2026","14,750.0","14,800.0","14,850.0","14,600.0","44.85M","-0.34%"
"23/04/2026","14,800.0","15,150.0","15,200.0","14,800.0","97.12M","-2.63%"
"22/04/2026","15,200.0","15,150.0","15,250.0","15,050.0","47.51M","0.33%"
"21/04/2026","15,150.0","15,300.0","15,400.0","15,150.0","48.99M","-0.98%"
"20/04/2026","15,300.0","15,200.0","15,300.0","15,150.0","47.39M","0.00%"
"17/04/2026","15,300.0","15,400.0","15,500.0","15,250.0","65.58M","-1.61%"
"16/04/2026","15,550.0","15,150.0","15,550.0","15,100.0","137.81M","0.97%"
"15/04/2026","15,400.0","15,100.0","15,400.0","14,950.0","71.78M","1.99%"
"14/04/2026","15,100.0","15,100.0","15,150.0","14,800.0","98.76M","0.67%"
"13/04/2026","15,000.0","15,200.0","15,250.0","14,950.0","115.19M","-2.60%"
"10/04/2026","15,400.0","15,550.0","15,550.0","15,200.0","105.59M","-0.65%"
"09/04/2026","15,500.0","15,200.0","15,500.0","15,050.0","85.70M","1.31%"
"08/04/2026","15,300.0","15,000.0","15,350.0","14,850.0","80.53M","4.08%"
"07/04/2026","14,700.0","14,700.0","14,700.0","14,450.0","51.82M","1.38%"
"06/04/2026","14,500.0","14,800.0","14,800.0","14,500.0","35.89M","-2.68%"
"03/04/2026","14,900.0","14,850.0","14,900.0","14,400.0","52.37M","1.80%"
"02/04/2026","14,636.4","14,932.1","14,932.1","14,537.8","111.73M","-2.30%"
"01/04/2026","14,981.3","15,375.6","15,424.9","14,981.3","81.01M","-2.25%"
"31/03/2026","15,326.3","15,079.9","15,326.3","15,030.6","97.85M","0.65%"
"30/03/2026","15,227.7","14,981.3","15,227.7","14,784.2","86.81M","0.32%"
"27/03/2026","15,178.5","14,932.1","15,227.7","14,833.5","70.86M","0.19%"
"26/03/2026","15,150.0","14,950.0","15,250.0","14,750.0","67.87M","1.00%"
"25/03/2026","15,000.0","14,600.0","15,000.0","14,500.0","76.54M","3.81%"
