"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","16,700.00","16,550.00","16,700.00","16,500.00","1.81M","0.30%"
"28/04/2026","16,650.00","16,650.00","16,650.00","16,500.00","1.42M","0.00%"
"24/04/2026","16,650.00","16,700.00","16,750.00","16,500.00","1.89M","-0.30%"
"23/04/2026","16,700.00","16,750.00","16,800.00","16,600.00","2.02M","-0.60%"
"22/04/2026","16,800.00","16,800.00","16,850.00","16,600.00","2.36M","0.00%"
"21/04/2026","16,800.00","16,850.00","16,850.00","16,650.00","1.84M","-0.30%"
"20/04/2026","16,850.00","16,800.00","16,900.00","16,650.00","2.20M","0.00%"
"17/04/2026","16,850.00","16,650.00","16,850.00","16,550.00","2.12M","1.20%"
"16/04/2026","16,650.00","16,800.00","16,900.00","16,600.00","1.96M","-1.48%"
"15/04/2026","16,900.00","17,000.00","17,050.00","16,800.00","1.93M","-0.59%"
"14/04/2026","17,000.00","17,100.00","17,100.00","16,900.00","2.18M","-0.58%"
"13/04/2026","17,100.00","16,950.00","17,150.00","16,950.00","2.04M","-0.29%"
"10/04/2026","17,150.00","17,150.00","17,150.00","16,900.00","2.37M","0.00%"
"09/04/2026","17,150.00","17,350.00","17,350.00","17,050.00","1.71M","0.88%"
"08/04/2026","17,000.00","17,000.00","17,000.00","16,850.00","1.79M","1.19%"
"07/04/2026","16,800.00","16,800.00","16,800.00","16,650.00","1.85M","0.30%"
"06/04/2026","16,750.00","16,800.00","16,800.00","16,650.00","1.94M","-0.30%"
"03/04/2026","16,800.00","16,900.00","16,950.00","16,700.00","1.80M","-0.59%"
"02/04/2026","16,900.00","16,950.00","16,950.00","16,750.00","1.86M","-0.59%"
"01/04/2026","17,000.00","17,000.00","17,050.00","16,900.00","1.75M","0.29%"
"31/03/2026","16,950.00","16,850.00","16,950.00","16,750.00","1.80M","0.30%"
"30/03/2026","16,900.00","16,850.00","16,900.00","16,600.00","1.94M","0.00%"
"27/03/2026","16,900.00","16,700.00","16,900.00","16,650.00","1.88M","0.90%"
"26/03/2026","16,750.00","16,750.00","16,750.00","16,600.00","2.02M","0.00%"
"25/03/2026","16,750.00","16,750.00","16,850.00","16,650.00","1.77M","-0.30%"
"24/03/2026","16,800.00","16,800.00","16,800.00","16,600.00","1.99M","0.00%"
"23/03/2026","16,800.00","16,850.00","16,850.00","16,350.00","1.86M","-0.59%"
"20/03/2026","16,900.00","16,950.00","16,950.00","16,750.00","1.83M","-0.29%"
"19/03/2026","16,950.00","16,650.00","17,000.00","16,600.00","2.88M","0.89%"
"18/03/2026","16,800.00","16,700.00","16,800.00","16,600.00","1.83M","0.90%"
"17/03/2026","16,650.00","16,550.00","16,650.00","16,550.00","1.75M","0.60%"
"16/03/2026","16,550.00","16,550.00","16,550.00","16,350.00","2.10M","0.00%"
"13/03/2026","16,550.00","16,500.00","16,550.00","16,350.00","1.56M","0.00%"
"12/03/2026","16,550.00","16,350.00","16,550.00","16,300.00","2.12M","-0.30%"
"11/03/2026","16,600.00","16,300.00","16,650.00","16,250.00","2.00M","0.61%"
"10/03/2026","16,500.00","16,500.00","16,550.00","16,200.00","2.04M","1.23%"
"09/03/2026","16,300.00","16,600.00","16,650.00","15,950.00","2.31M","-4.12%"
"06/03/2026","17,000.00","16,950.00","17,000.00","16,650.00","2.32M","0.00%"
"05/03/2026","17,000.00","16,600.00","17,000.00","16,500.00","2.78M","1.19%"
"04/03/2026","16,800.00","16,550.00","16,800.00","16,400.00","2.36M","0.30%"
"03/03/2026","16,750.00","16,800.00","16,800.00","16,500.00","1.93M","-0.30%"
"02/03/2026","16,800.00","16,600.00","16,800.00","16,550.00","2.26M","-0.59%"
"27/02/2026","16,900.00","16,950.00","17,000.00","16,750.00","1.99M","-0.59%"
"26/02/2026","17,000.00","16,950.00","17,000.00","16,750.00","2.11M","0.29%"
"25/02/2026","16,950.00","16,900.00","17,000.00","16,800.00","2.12M","-0.29%"
"24/02/2026","17,000.00","17,000.00","17,050.00","16,900.00","2.22M","-0.58%"
"23/02/2026","17,100.00","17,150.00","17,150.00","16,950.00","1.61M","0.59%"
"13/02/2026","17,000.00","16,900.00","17,000.00","16,750.00","2.28M","0.29%"
"12/02/2026","16,950.00","17,000.00","17,000.00","16,650.00","2.13M","-0.29%"
"11/02/2026","17,000.00","16,700.00","17,000.00","16,600.00","2.25M","1.49%"
"10/02/2026","16,750.00","16,700.00","16,750.00","16,500.00","2.01M","0.00%"
"09/02/2026","16,750.00","16,700.00","16,800.00","16,550.00","2.21M","-0.30%"
"06/02/2026","16,800.00","16,800.00","16,800.00","16,550.00","2.25M","0.00%"
"05/02/2026","16,800.00","16,950.00","17,000.00","16,800.00","2.23M","-1.18%"
"04/02/2026","17,000.00","17,000.00","17,000.00","16,850.00","2.10M","0.00%"
"03/02/2026","17,000.00","17,050.00","17,150.00","16,850.00","2.11M","-0.87%"
"02/02/2026","17,150.00","17,050.00","17,150.00","16,750.00","2.94M","0.00%"
"30/01/2026","17,150.00","17,400.00","17,500.00","17,150.00","2.38M","-1.72%"
"29/01/2026","17,450.00","17,450.00","17,450.00","17,250.00","1.86M","0.00%"
"28/01/2026","17,450.00","17,500.00","17,550.00","17,250.00","1.85M","0.00%"
