"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","27,650.0","27,700.0","27,900.0","27,650.0","12.24M","0.00%"
"28/04/2026","27,650.0","27,800.0","28,050.0","27,650.0","10.75M","-0.18%"
"24/04/2026","27,700.0","27,900.0","28,000.0","27,550.0","10.87M","-0.89%"
"23/04/2026","27,950.0","28,200.0","28,500.0","27,550.0","22.08M","-0.71%"
"22/04/2026","28,150.0","28,400.0","28,450.0","28,100.0","14.75M","-0.53%"
"21/04/2026","28,300.0","29,000.0","29,100.0","28,300.0","21.65M","-2.25%"
"20/04/2026","28,950.0","28,600.0","29,200.0","28,600.0","23.63M","1.40%"
"17/04/2026","28,550.0","28,850.0","29,150.0","28,550.0","18.59M","-1.04%"
"16/04/2026","28,850.0","28,700.0","29,100.0","28,550.0","26.29M","0.52%"
"15/04/2026","28,700.0","29,000.0","29,150.0","28,700.0","24.45M","0.00%"
"14/04/2026","28,700.0","28,800.0","29,100.0","28,450.0","19.86M","1.06%"
"13/04/2026","28,400.0","28,200.0","28,750.0","28,100.0","21.82M","-0.70%"
"10/04/2026","28,600.0","29,100.0","29,150.0","28,600.0","23.55M","-0.52%"
"09/04/2026","28,750.0","28,950.0","29,250.0","28,750.0","28.82M","-2.21%"
"08/04/2026","29,400.0","28,700.0","29,400.0","28,500.0","65.78M","6.91%"
"07/04/2026","27,500.0","27,150.0","27,500.0","26,750.0","18.14M","2.04%"
"06/04/2026","26,950.0","26,900.0","27,500.0","26,850.0","17.57M","-0.19%"
"03/04/2026","27,000.0","27,700.0","27,800.0","27,000.0","27.13M","-2.00%"
"02/04/2026","27,550.0","27,650.0","27,950.0","27,350.0","25.17M","-1.25%"
"01/04/2026","27,900.0","27,700.0","28,500.0","27,600.0","40.30M","3.53%"
"31/03/2026","26,950.0","26,700.0","27,300.0","26,550.0","34.45M","1.51%"
"30/03/2026","26,550.0","26,350.0","26,900.0","26,000.0","25.94M","-1.85%"
"27/03/2026","27,050.0","26,350.0","27,200.0","26,350.0","23.31M","2.66%"
"26/03/2026","26,350.0","26,850.0","26,850.0","26,350.0","23.40M","-1.86%"
"25/03/2026","26,850.0","26,400.0","27,250.0","26,300.0","30.40M","3.67%"
"24/03/2026","25,900.0","26,250.0","26,500.0","25,850.0","28.15M","1.97%"
"23/03/2026","25,400.0","26,100.0","26,350.0","25,200.0","50.94M","-5.75%"
"20/03/2026","26,950.0","26,800.0","27,300.0","26,650.0","34.79M","-0.19%"
"19/03/2026","27,000.0","27,400.0","27,600.0","26,600.0","60.36M","-3.57%"
"18/03/2026","28,000.0","28,800.0","28,900.0","27,700.0","42.49M","-2.27%"
"17/03/2026","28,650.0","28,800.0","29,450.0","28,650.0","29.27M","0.88%"
"16/03/2026","28,400.0","28,450.0","29,250.0","28,300.0","26.04M","0.00%"
"13/03/2026","28,400.0","28,750.0","29,200.0","28,200.0","54.94M","-2.57%"
"12/03/2026","29,150.0","29,700.0","30,100.0","28,900.0","44.11M","-3.64%"
"11/03/2026","30,250.0","29,800.0","30,800.0","29,400.0","39.07M","2.02%"
"10/03/2026","29,650.0","30,000.0","30,500.0","29,000.0","81.04M","1.19%"
"09/03/2026","29,300.0","29,300.0","29,450.0","29,300.0","33.53M","-6.98%"
"06/03/2026","31,500.0","33,100.0","33,200.0","31,500.0","70.60M","-5.97%"
"05/03/2026","33,500.0","34,300.0","35,000.0","33,500.0","83.99M","-0.59%"
"04/03/2026","33,700.0","32,550.0","33,700.0","31,500.0","92.51M","3.37%"
"03/03/2026","32,600.0","32,100.0","33,550.0","32,000.0","70.79M","2.35%"
"02/03/2026","31,850.0","31,500.0","32,800.0","31,300.0","72.56M","-1.70%"
"27/02/2026","32,400.0","32,500.0","32,950.0","32,100.0","37.30M","0.00%"
"26/02/2026","32,400.0","32,300.0","32,700.0","32,000.0","30.43M","0.78%"
"25/02/2026","32,150.0","32,000.0","32,700.0","31,800.0","42.66M","0.16%"
"24/02/2026","32,100.0","31,500.0","32,800.0","31,250.0","46.48M","1.58%"
"23/02/2026","31,600.0","31,600.0","31,850.0","31,300.0","16.67M","0.64%"
"13/02/2026","31,400.0","31,100.0","31,550.0","30,900.0","19.53M","0.48%"
"12/02/2026","31,250.0","31,250.0","31,500.0","31,050.0","11.76M","0.16%"
