"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","67,500.0","67,800.0","68,900.0","67,300.0","4.95M","-0.88%"
"28/04/2026","68,100.0","65,900.0","69,300.0","65,100.0","8.21M","4.93%"
"24/04/2026","64,900.0","65,400.0","65,500.0","64,800.0","2.76M","-0.76%"
"23/04/2026","65,400.0","66,700.0","67,000.0","65,200.0","7.99M","-1.65%"
"22/04/2026","66,500.0","68,400.0","69,200.0","66,500.0","8.52M","-1.77%"
"21/04/2026","67,700.0","68,000.0","68,600.0","66,900.0","14.14M","5.45%"
"20/04/2026","64,200.0","64,500.0","65,200.0","64,100.0","2.57M","0.31%"
"17/04/2026","64,000.0","64,000.0","65,200.0","63,900.0","3.71M","0.31%"
"16/04/2026","63,800.0","64,500.0","65,500.0","63,500.0","4.60M","-0.78%"
"15/04/2026","64,300.0","66,400.0","66,500.0","64,300.0","6.88M","-2.72%"
"14/04/2026","66,100.0","67,900.0","68,200.0","66,100.0","4.18M","-1.78%"
"13/04/2026","67,300.0","66,300.0","68,700.0","66,000.0","5.23M","0.60%"
"10/04/2026","66,900.0","66,300.0","68,700.0","66,100.0","10.15M","0.90%"
"09/04/2026","66,300.0","65,900.0","68,800.0","65,500.0","11.52M","0.45%"
"08/04/2026","66,000.0","63,500.0","66,000.0","63,100.0","9.82M","6.97%"
"07/04/2026","61,700.0","61,500.0","62,000.0","61,000.0","2.93M","0.82%"
"06/04/2026","61,200.0","60,800.0","62,100.0","59,600.0","4.20M","0.66%"
"03/04/2026","60,800.0","60,800.0","62,300.0","60,600.0","4.61M","-0.49%"
"02/04/2026","61,100.0","61,600.0","62,100.0","60,700.0","6.49M","-1.77%"
"01/04/2026","62,200.0","62,800.0","63,700.0","62,200.0","3.19M","0.00%"
"31/03/2026","62,200.0","61,200.0","62,700.0","61,200.0","5.23M","1.63%"
"30/03/2026","61,200.0","58,900.0","63,400.0","58,100.0","7.57M","2.17%"
"27/03/2026","59,900.0","60,500.0","60,700.0","59,700.0","9.37M","-1.16%"
"26/03/2026","60,600.0","62,000.0","62,100.0","60,300.0","5.03M","-2.57%"
"25/03/2026","62,200.0","61,300.0","62,700.0","61,100.0","5.69M","2.30%"
"24/03/2026","60,800.0","61,100.0","62,000.0","60,500.0","6.03M","1.33%"
"23/03/2026","60,000.0","62,400.0","62,900.0","60,000.0","8.99M","-5.36%"
"20/03/2026","63,400.0","63,100.0","64,000.0","62,700.0","9.39M","0.00%"
"19/03/2026","63,400.0","63,300.0","64,700.0","62,100.0","11.63M","0.16%"
"18/03/2026","63,300.0","67,700.0","68,800.0","62,900.0","33.65M","-6.36%"
"17/03/2026","67,600.0","67,000.0","69,200.0","67,000.0","8.83M","1.50%"
"16/03/2026","66,600.0","65,700.0","68,900.0","65,600.0","10.88M","1.22%"
"13/03/2026","65,800.0","65,000.0","67,000.0","64,900.0","6.92M","0.15%"
"12/03/2026","65,700.0","65,600.0","67,100.0","65,100.0","6.08M","-0.90%"
"11/03/2026","66,300.0","65,100.0","67,400.0","64,500.0","9.25M","2.00%"
"10/03/2026","65,000.0","63,000.0","65,000.0","62,600.0","21.12M","6.91%"
"09/03/2026","60,800.0","59,400.0","64,100.0","59,400.0","34.72M","-4.70%"
"06/03/2026","63,800.0","64,900.0","65,400.0","62,600.0","9.70M","-1.69%"
"05/03/2026","64,900.0","67,600.0","68,700.0","64,900.0","11.71M","-2.70%"
"04/03/2026","66,700.0","67,600.0","68,100.0","65,300.0","15.99M","-1.62%"
"03/03/2026","67,800.0","67,000.0","70,200.0","67,000.0","10.14M","1.19%"
"02/03/2026","67,000.0","65,100.0","70,000.0","64,100.0","22.27M","2.29%"
"27/02/2026","65,500.0","66,900.0","67,200.0","65,500.0","7.08M","-2.24%"
"26/02/2026","67,000.0","66,800.0","67,300.0","65,600.0","8.14M","0.45%"
"25/02/2026","66,700.0","63,400.0","67,800.0","63,400.0","20.07M","5.21%"
"24/02/2026","63,400.0","63,200.0","64,200.0","63,000.0","7.97M","0.79%"
"23/02/2026","62,900.0","62,500.0","63,700.0","62,500.0","5.82M","0.48%"
"13/02/2026","62,600.0","61,200.0","62,600.0","61,100.0","9.00M","2.45%"
