"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","33,850.0","34,500.0","34,600.0","33,500.0","16.46M","-2.17%"
"28/04/2026","34,600.0","35,000.0","35,000.0","34,500.0","16.78M","1.02%"
"24/04/2026","34,250.0","33,400.0","34,300.0","33,300.0","24.93M","2.85%"
"23/04/2026","33,300.0","33,000.0","33,700.0","32,900.0","12.86M","0.91%"
"22/04/2026","33,000.0","33,100.0","33,500.0","32,900.0","15.09M","0.92%"
"21/04/2026","32,700.0","32,650.0","32,850.0","32,500.0","10.36M","0.31%"
"20/04/2026","32,600.0","32,400.0","32,900.0","32,350.0","12.62M","1.09%"
"17/04/2026","32,250.0","32,150.0","32,450.0","32,000.0","12.20M","1.10%"
"16/04/2026","31,900.0","31,850.0","32,100.0","31,800.0","8.57M","0.16%"
"15/04/2026","31,850.0","32,400.0","32,550.0","31,850.0","12.30M","-0.62%"
"14/04/2026","32,050.0","32,400.0","32,550.0","31,850.0","9.84M","0.47%"
"13/04/2026","31,900.0","31,500.0","32,150.0","31,500.0","10.92M","-1.09%"
"10/04/2026","32,250.0","31,050.0","32,650.0","31,050.0","30.69M","4.37%"
"09/04/2026","30,900.0","30,950.0","31,600.0","30,600.0","20.81M","0.65%"
"08/04/2026","30,700.0","29,750.0","30,700.0","29,500.0","18.13M","6.97%"
"07/04/2026","28,700.0","29,250.0","29,300.0","28,350.0","15.39M","-1.20%"
"06/04/2026","29,050.0","29,700.0","29,700.0","29,000.0","12.54M","-2.35%"
"03/04/2026","29,750.0","30,400.0","30,500.0","29,750.0","8.90M","-1.98%"
"02/04/2026","30,350.0","30,500.0","30,550.0","30,100.0","7.86M","-1.46%"
"01/04/2026","30,800.0","31,350.0","31,350.0","30,800.0","8.79M","0.33%"
"31/03/2026","30,700.0","30,500.0","30,750.0","30,400.0","8.86M","0.66%"
"30/03/2026","30,500.0","30,050.0","30,500.0","29,750.0","6.34M","-0.49%"
"27/03/2026","30,650.0","30,150.0","30,700.0","30,050.0","7.62M","1.66%"
"26/03/2026","30,150.0","30,700.0","30,700.0","30,150.0","7.43M","-2.11%"
"25/03/2026","30,800.0","30,300.0","30,900.0","30,050.0","10.01M","3.18%"
"24/03/2026","29,850.0","29,300.0","29,850.0","29,150.0","9.25M","3.29%"
"23/03/2026","28,900.0","29,500.0","29,550.0","28,900.0","15.40M","-3.18%"
"20/03/2026","29,850.0","30,000.0","30,100.0","29,850.0","7.92M","-0.67%"
"19/03/2026","30,050.0","30,150.0","30,300.0","29,900.0","16.39M","-0.83%"
"18/03/2026","30,300.0","30,500.0","30,800.0","30,150.0","6.83M","0.00%"
"17/03/2026","30,300.0","30,250.0","30,900.0","30,100.0","13.16M","0.33%"
"16/03/2026","30,200.0","30,000.0","30,450.0","30,000.0","8.14M","0.67%"
"13/03/2026","30,000.0","30,000.0","30,300.0","29,650.0","9.83M","0.00%"
"12/03/2026","30,000.0","30,550.0","31,000.0","29,900.0","18.07M","-3.54%"
"11/03/2026","31,100.0","30,050.0","31,350.0","29,950.0","13.00M","2.64%"
"10/03/2026","30,300.0","30,800.0","30,800.0","29,750.0","18.77M","3.59%"
"09/03/2026","29,250.0","29,250.0","29,800.0","29,250.0","33.39M","-7.00%"
"06/03/2026","31,450.0","32,100.0","32,100.0","31,350.0","14.74M","-2.33%"
"05/03/2026","32,200.0","33,000.0","33,100.0","32,200.0","15.75M","-0.92%"
"04/03/2026","32,500.0","33,500.0","33,700.0","31,800.0","30.87M","-3.27%"
"03/03/2026","33,600.0","34,650.0","34,950.0","33,600.0","17.27M","-3.03%"
"02/03/2026","34,650.0","35,800.0","35,800.0","34,650.0","17.52M","-4.41%"
