"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","16,250.0","16,250.0","16,400.0","16,150.0","4.03M","0.00%"
"28/04/2026","16,250.0","16,300.0","16,400.0","16,250.0","4.41M","-0.31%"
"24/04/2026","16,300.0","16,350.0","16,450.0","16,250.0","4.05M","0.00%"
"23/04/2026","16,300.0","16,300.0","16,650.0","16,250.0","7.41M","0.00%"
"22/04/2026","16,300.0","16,350.0","16,350.0","16,150.0","5.31M","0.31%"
"21/04/2026","16,250.0","16,450.0","16,500.0","16,250.0","6.86M","-0.91%"
"20/04/2026","16,400.0","16,250.0","16,500.0","16,250.0","6.49M","0.92%"
"17/04/2026","16,250.0","16,250.0","16,400.0","16,200.0","6.01M","0.00%"
"16/04/2026","16,250.0","16,400.0","16,450.0","16,200.0","6.09M","-0.91%"
"15/04/2026","16,400.0","16,450.0","16,600.0","16,350.0","6.81M","-0.30%"
"14/04/2026","16,450.0","16,500.0","16,700.0","16,400.0","8.61M","0.61%"
"13/04/2026","16,350.0","16,200.0","16,500.0","16,100.0","7.94M","0.31%"
"10/04/2026","16,300.0","16,400.0","16,900.0","16,300.0","8.88M","0.31%"
"09/04/2026","16,250.0","16,450.0","16,450.0","16,250.0","5.40M","-1.52%"
"08/04/2026","16,500.0","16,200.0","16,600.0","16,150.0","17.31M","4.76%"
"07/04/2026","15,750.0","15,950.0","16,000.0","15,550.0","9.19M","-0.63%"
"06/04/2026","15,850.0","16,000.0","16,100.0","15,850.0","4.70M","-0.94%"
"03/04/2026","16,000.0","16,150.0","16,150.0","15,950.0","4.12M","0.00%"
"02/04/2026","16,000.0","16,250.0","16,250.0","15,950.0","5.65M","-2.14%"
"01/04/2026","16,350.0","16,550.0","16,750.0","16,300.0","11.59M","0.31%"
"31/03/2026","16,300.0","16,050.0","16,500.0","16,000.0","11.36M","2.19%"
"30/03/2026","15,950.0","15,900.0","16,200.0","15,850.0","5.13M","-1.85%"
"27/03/2026","16,250.0","15,900.0","16,300.0","15,900.0","9.25M","2.20%"
"26/03/2026","15,900.0","16,150.0","16,150.0","15,900.0","6.80M","-1.55%"
"25/03/2026","16,150.0","15,850.0","16,200.0","15,800.0","11.99M","2.22%"
"24/03/2026","15,800.0","15,500.0","15,950.0","15,350.0","11.90M","4.64%"
"23/03/2026","15,100.0","15,600.0","15,750.0","15,100.0","11.93M","-4.43%"
"20/03/2026","15,800.0","15,900.0","16,000.0","15,800.0","4.82M","-1.25%"
"19/03/2026","16,000.0","15,850.0","16,100.0","15,750.0","11.84M","-0.31%"
"18/03/2026","16,050.0","16,200.0","16,350.0","15,900.0","8.61M","-0.31%"
"17/03/2026","16,100.0","16,150.0","16,350.0","16,100.0","6.39M","0.63%"
"16/03/2026","16,000.0","16,100.0","16,200.0","15,950.0","6.99M","0.00%"
"13/03/2026","16,000.0","16,100.0","16,200.0","15,850.0","11.26M","-0.31%"
"12/03/2026","16,050.0","16,200.0","16,450.0","15,950.0","13.10M","-2.43%"
"11/03/2026","16,450.0","16,050.0","16,700.0","16,000.0","21.02M","2.81%"
"10/03/2026","16,000.0","16,100.0","16,350.0","15,700.0","22.27M","1.91%"
"09/03/2026","15,700.0","15,800.0","16,500.0","15,700.0","28.43M","-6.82%"
"06/03/2026","16,850.0","17,000.0","17,250.0","16,850.0","14.31M","-1.17%"
"05/03/2026","17,050.0","17,500.0","17,700.0","17,050.0","18.62M","-1.45%"
"04/03/2026","17,300.0","17,550.0","17,800.0","16,600.0","30.12M","-1.70%"
"03/03/2026","17,600.0","17,850.0","18,200.0","17,550.0","24.82M","-1.12%"
"02/03/2026","17,800.0","17,900.0","18,450.0","17,800.0","38.69M","-3.26%"
"27/02/2026","18,400.0","18,450.0","18,700.0","18,250.0","17.46M","0.27%"
