"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","59,800","59,900","60,500","59,500","6.43M","0.00%"
"28/04/2026","59,800","60,800","61,500","59,800","7.60M","-1.32%"
"24/04/2026","60,600","63,000","63,000","60,600","11.88M","-3.50%"
"23/04/2026","62,800","59,700","63,500","59,600","35.20M","5.72%"
"22/04/2026","59,400","59,600","59,800","59,200","3.01M","-0.34%"
"21/04/2026","59,600","60,400","60,600","59,600","6.38M","-0.83%"
"20/04/2026","60,100","59,600","60,500","59,500","6.44M","1.01%"
"17/04/2026","59,500","59,400","59,900","59,400","4.26M","0.17%"
"16/04/2026","59,400","60,000","60,100","59,300","4.17M","-0.83%"
"15/04/2026","59,900","59,700","60,500","59,600","8.92M","1.01%"
"14/04/2026","59,300","59,700","59,800","59,100","5.55M","0.17%"
"13/04/2026","59,200","59,500","59,500","59,000","5.09M","-1.00%"
"10/04/2026","59,800","59,600","61,000","59,600","7.66M","0.67%"
"09/04/2026","59,400","60,000","60,100","59,300","6.22M","-1.33%"
"08/04/2026","60,200","59,200","60,300","58,800","13.74M","3.79%"
"07/04/2026","58,000","58,000","58,300","57,700","3.89M","0.00%"
"06/04/2026","58,000","57,800","58,200","57,700","4.30M","0.52%"
"03/04/2026","57,700","58,300","58,500","57,700","5.92M","-0.86%"
"02/04/2026","58,200","58,700","58,800","58,100","5.66M","-1.36%"
"01/04/2026","59,000","58,900","59,200","58,500","8.25M","1.55%"
"31/03/2026","58,100","58,200","58,900","58,000","5.48M","0.17%"
"30/03/2026","58,000","57,900","58,500","57,800","5.55M","-1.36%"
"27/03/2026","58,800","58,000","59,000","57,900","6.14M","1.55%"
"26/03/2026","57,900","58,500","58,600","57,500","6.22M","-0.86%"
"25/03/2026","58,400","58,800","59,100","58,000","8.56M","0.34%"
"24/03/2026","58,200","59,000","59,000","58,000","4.33M","1.04%"
"23/03/2026","57,600","57,800","58,300","56,500","9.65M","-0.69%"
"20/03/2026","58,000","59,800","59,800","58,000","8.32M","-3.01%"
"19/03/2026","59,800","59,700","60,000","59,000","6.18M","-1.16%"
"18/03/2026","60,500","60,900","62,000","60,000","8.23M","0.00%"
"17/03/2026","60,500","59,500","60,500","59,400","7.15M","2.89%"
"16/03/2026","58,800","59,300","59,800","58,600","3.99M","-0.34%"
"13/03/2026","59,000","59,200","60,100","58,900","5.66M","-1.34%"
"12/03/2026","59,800","60,200","60,300","59,500","6.22M","-0.99%"
"11/03/2026","60,400","60,500","61,200","60,000","8.79M","0.00%"
"10/03/2026","60,400","59,800","60,900","58,800","11.52M","5.41%"
"09/03/2026","57,300","57,400","59,700","57,300","29.40M","-6.98%"
"06/03/2026","61,600","62,000","63,200","61,600","8.85M","-1.44%"
"05/03/2026","62,500","63,700","63,700","62,500","6.04M","-0.79%"
"04/03/2026","63,000","61,800","63,200","61,700","10.26M","2.27%"
"03/03/2026","61,600","62,900","63,700","61,400","12.58M","-2.07%"
"02/03/2026","62,900","62,900","63,900","62,900","17.11M","-3.08%"
"27/02/2026","64,900","65,500","66,400","64,800","8.83M","-0.76%"
"26/02/2026","65,400","65,200","65,900","65,000","7.56M","0.46%"
"25/02/2026","65,100","65,000","66,500","64,700","9.49M","0.15%"
"24/02/2026","65,000","66,600","66,600","64,900","10.25M","-2.11%"
"23/02/2026","66,400","65,000","66,700","64,600","10.10M","3.11%"
"13/02/2026","64,400","64,700","65,100","64,000","4.95M","0.31%"
"12/02/2026","64,200","65,500","65,500","64,200","7.95M","-0.77%"
"11/02/2026","64,700","64,000","66,600","63,500","11.12M","2.54%"
"10/02/2026","63,100","64,500","65,500","62,600","15.81M","-2.92%"
"09/02/2026","65,000","65,500","66,000","64,200","7.31M","-0.15%"
"06/02/2026","65,100","67,900","67,900","64,900","24.57M","-4.82%"
"05/02/2026","68,400","70,700","70,800","68,400","11.69M","-3.39%"
"04/02/2026","70,800","72,000","72,000","70,500","8.73M","-1.39%"
"03/02/2026","71,800","72,400","73,300","71,300","15.09M","0.42%"
"02/02/2026","71,500","70,500","71,500","69,300","10.71M","1.42%"
"30/01/2026","70,500","70,600","71,900","69,600","11.48M","1.00%"
"29/01/2026","69,800","69,300","70,800","68,600","7.86M","0.29%"
"28/01/2026","69,600","71,100","72,900","69,400","12.28M","-1.42%"
"27/01/2026","70,600","69,700","71,500","68,100","9.65M","1.44%"
"26/01/2026","69,600","68,900","71,100","68,700","10.99M","1.46%"
"23/01/2026","68,600","71,000","71,000","68,500","16.80M","-3.38%"
"22/01/2026","71,000","73,400","75,900","70,600","18.58M","-2.47%"
"21/01/2026","72,800","72,800","73,600","71,700","11.18M","-0.95%"
"20/01/2026","73,500","74,000","75,000","72,100","18.49M","1.10%"
"19/01/2026","72,700","73,000","73,500","71,600","8.21M","-0.41%"
"16/01/2026","73,000","73,000","76,000","72,000","13.43M","1.53%"
"15/01/2026","71,900","74,000","74,900","71,900","23.23M","-5.39%"
"14/01/2026","76,000","73,100","78,800","73,100","21.21M","2.70%"
"13/01/2026","74,000","74,300","76,000","71,800","28.20M","1.79%"
"12/01/2026","72,700","69,900","72,700","69,600","21.97M","6.91%"
"09/01/2026","68,000","65,400","68,000","65,400","32.48M","6.75%"
"08/01/2026","63,700","59,800","63,700","59,700","27.10M","6.88%"
"07/01/2026","59,600","57,600","59,900","57,500","12.92M","4.01%"
"06/01/2026","57,300","57,100","57,500","56,600","4.17M","0.35%"
"05/01/2026","57,100","57,500","57,600","57,000","3.59M","-0.70%"
"31/12/2025","57,500","57,400","57,900","57,300","2.53M","0.35%"
