"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","146,000","154,800","155,900","146,000","6.99M","-3.31%"
"28/04/2026","151,000","140,700","151,000","140,000","9.35M","6.94%"
"24/04/2026","141,200","148,100","148,600","141,200","6.05M","-5.23%"
"23/04/2026","149,000","152,000","152,700","146,200","5.70M","-0.86%"
"22/04/2026","150,300","143,600","154,800","141,300","8.65M","3.09%"
"21/04/2026","145,800","149,000","155,000","145,800","5.25M","0.48%"
"20/04/2026","145,100","136,600","145,100","131,500","6.84M","6.93%"
"17/04/2026","135,700","144,600","146,500","135,500","9.35M","-5.17%"
"16/04/2026","143,100","137,000","146,000","137,000","8.24M","4.45%"
"15/04/2026","137,000","130,300","137,900","129,300","6.59M","6.28%"
"14/04/2026","128,900","125,100","128,900","122,900","5.58M","4.88%"
"13/04/2026","122,900","119,100","124,200","118,200","3.68M","1.49%"
"10/04/2026","121,100","124,000","124,000","120,600","2.50M","-0.74%"
"09/04/2026","122,000","123,500","127,500","121,900","5.21M","-0.81%"
"08/04/2026","123,000","117,900","123,000","117,600","5.53M","6.96%"
"07/04/2026","115,000","117,000","118,000","113,500","3.16M","-1.71%"
"06/04/2026","117,000","118,000","120,700","116,000","3.21M","-1.85%"
"03/04/2026","119,200","120,800","125,000","117,800","6.02M","1.10%"
"02/04/2026","117,900","117,900","117,900","116,100","16.32M","6.99%"
"01/04/2026","110,200","110,200","110,200","110,200","2.03M","6.99%"
"31/03/2026","103,000","102,400","103,800","102,000","1.49M","0.00%"
"30/03/2026","103,000","100,800","103,600","100,200","2.58M","0.00%"
"27/03/2026","103,000","102,000","103,500","100,200","2.55M","1.88%"
"26/03/2026","101,100","104,300","104,300","101,100","2.74M","-2.98%"
"25/03/2026","104,200","100,900","104,200","99,200","4.33M","5.25%"
"24/03/2026","99,000","99,400","99,600","96,500","2.70M","1.02%"
"23/03/2026","98,000","99,000","99,000","93,000","6.60M","-2.00%"
"20/03/2026","100,000","102,000","102,000","97,000","6.14M","-2.25%"
"19/03/2026","102,300","101,900","103,500","100,500","4.60M","0.29%"
"18/03/2026","102,000","102,200","105,500","101,500","4.51M","0.00%"
"17/03/2026","102,000","101,900","104,400","100,800","4.36M","2.00%"
"16/03/2026","100,000","98,000","102,400","96,900","4.95M","2.04%"
"13/03/2026","98,000","94,500","98,000","93,900","3.99M","2.19%"
"12/03/2026","95,900","93,700","95,900","93,500","4.14M","0.00%"
"11/03/2026","95,900","89,200","95,900","89,200","6.73M","6.79%"
"10/03/2026","89,800","90,300","92,900","88,300","5.67M","1.58%"
"09/03/2026","88,400","88,500","91,100","88,400","17.23M","-6.95%"
"06/03/2026","95,000","95,000","96,500","93,000","6.98M","0.00%"
"05/03/2026","95,000","95,400","99,000","93,300","8.98M","1.60%"
"04/03/2026","93,500","91,400","94,900","87,000","12.72M","0.00%"
"03/03/2026","93,500","97,100","99,800","93,500","11.71M","-6.97%"
"02/03/2026","100,500","102,500","105,100","100,500","6.58M","-6.94%"
"27/02/2026","108,000","108,000","109,500","104,600","4.92M","0.37%"
"26/02/2026","107,600","106,000","112,900","105,600","6.16M","0.56%"
"25/02/2026","107,000","110,600","110,600","106,400","5.55M","-3.60%"
"24/02/2026","111,000","110,500","111,000","107,100","4.72M","0.27%"
"23/02/2026","110,700","109,100","111,400","108,000","3.68M","1.56%"
"13/02/2026","109,000","109,700","109,800","105,300","6.24M","0.00%"
"12/02/2026","109,000","103,600","109,300","102,100","6.58M","5.83%"
"11/02/2026","103,000","102,500","104,500","102,400","6.20M","1.68%"
"10/02/2026","101,300","94,600","101,600","94,000","8.66M","6.63%"
"09/02/2026","95,000","97,900","97,900","93,100","4.46M","-2.56%"
"06/02/2026","97,500","97,600","101,800","95,100","8.49M","-0.10%"
"05/02/2026","97,600","91,200","97,600","91,200","9.43M","6.90%"
"04/02/2026","91,300","97,500","98,000","90,800","13.58M","-6.17%"
"03/02/2026","97,300","96,100","102,000","95,500","9.35M","-1.32%"
