"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","16,300","16,500","16,550","16,300","5.11M","-0.91%"
"28/04/2026","16,450","16,497","16,592","16,403","5.27M","0.58%"
"24/04/2026","16,355","16,308","16,403","16,260","3.30M","0.29%"
"23/04/2026","16,308","16,450","16,640","16,213","10.93M","-0.58%"
"22/04/2026","16,403","16,355","16,450","16,260","4.43M","-4.64%"
"21/04/2026","17,200","17,500","17,550","17,200","5.92M","-1.71%"
"20/04/2026","17,500","17,450","17,500","17,300","4.62M","0.86%"
"17/04/2026","17,350","17,250","17,450","17,100","5.67M","1.17%"
"16/04/2026","17,150","17,400","17,400","17,100","6.85M","-1.15%"
"15/04/2026","17,350","17,750","17,750","17,350","7.68M","-1.42%"
"14/04/2026","17,600","17,850","17,900","17,600","6.83M","-0.85%"
"13/04/2026","17,750","17,350","18,050","17,300","17.73M","1.72%"
"10/04/2026","17,450","17,250","17,550","17,200","10.41M","1.75%"
"09/04/2026","17,150","17,400","17,400","17,050","4.94M","-1.15%"
"08/04/2026","17,350","17,050","17,450","16,900","11.25M","3.89%"
"07/04/2026","16,700","16,700","16,800","16,550","2.73M","0.30%"
"06/04/2026","16,650","16,650","16,850","16,550","3.64M","0.00%"
"03/04/2026","16,650","16,950","17,000","16,650","4.38M","-1.48%"
"02/04/2026","16,900","17,150","17,150","16,850","4.09M","-1.74%"
"01/04/2026","17,200","17,150","17,400","17,100","5.68M","1.47%"
"31/03/2026","16,950","17,050","17,200","16,900","4.17M","0.30%"
"30/03/2026","16,900","16,800","17,100","16,800","3.51M","-0.59%"
"27/03/2026","17,000","16,850","17,200","16,850","6.30M","0.29%"
"26/03/2026","16,950","17,250","17,250","16,900","3.02M","-1.74%"
"25/03/2026","17,250","16,800","17,250","16,700","8.61M","3.29%"
"24/03/2026","16,700","16,500","16,900","16,400","4.88M","2.45%"
"23/03/2026","16,300","16,650","16,750","16,200","5.66M","-2.98%"
"20/03/2026","16,800","16,750","16,900","16,700","3.34M","0.00%"
"19/03/2026","16,800","16,950","17,000","16,600","6.03M","-1.75%"
"18/03/2026","17,100","17,200","17,250","16,850","4.53M","0.59%"
"17/03/2026","17,000","17,100","17,250","17,000","8.88M","0.00%"
"16/03/2026","17,000","16,900","17,000","16,750","2.94M","0.59%"
"13/03/2026","16,900","16,650","17,000","16,550","4.48M","1.50%"
"12/03/2026","16,650","17,000","17,000","16,600","3.95M","-2.35%"
"11/03/2026","17,050","16,250","17,200","16,200","11.60M","5.90%"
