"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","214,000","227,800","227,800","213,800","5.79M","-5.10%"
"28/04/2026","225,500","210,000","226,900","209,800","5.19M","6.32%"
"24/04/2026","212,100","215,200","221,900","208,000","4.24M","-1.12%"
"23/04/2026","214,500","212,000","218,900","209,100","4.26M","3.52%"
"22/04/2026","207,200","193,600","207,200","191,200","4.71M","6.97%"
"21/04/2026","193,700","194,000","201,900","192,400","3.34M","1.41%"
"20/04/2026","191,000","186,500","191,000","178,100","5.43M","1.65%"
"17/04/2026","187,900","194,900","200,000","187,500","6.75M","-0.74%"
"16/04/2026","189,300","180,000","189,300","178,900","7.57M","6.95%"
"15/04/2026","177,000","166,200","177,000","166,200","6.64M","6.95%"
"14/04/2026","165,500","162,000","165,900","161,900","3.66M","3.44%"
"13/04/2026","160,000","151,700","162,000","149,300","4.05M","5.47%"
"10/04/2026","151,700","151,600","154,000","151,500","2.20M","1.68%"
"09/04/2026","149,200","154,000","154,000","149,200","2.62M","-2.74%"
"08/04/2026","153,400","150,000","153,400","147,100","4.03M","6.97%"
"07/04/2026","143,400","141,600","146,900","139,900","3.08M","1.27%"
"06/04/2026","141,600","141,000","142,500","139,000","2.02M","0.43%"
"03/04/2026","141,000","140,000","144,900","139,300","2.87M","0.79%"
"02/04/2026","139,900","142,800","142,800","137,800","4.15M","-0.78%"
"01/04/2026","141,000","143,000","144,300","139,300","3.64M","4.44%"
"31/03/2026","135,000","130,200","135,000","130,000","3.32M","4.25%"
"30/03/2026","129,500","128,900","132,200","127,500","2.04M","-2.34%"
"27/03/2026","132,600","130,500","133,900","128,600","2.12M","2.00%"
"26/03/2026","130,000","129,900","130,900","125,900","2.44M","1.01%"
"25/03/2026","128,700","128,000","132,300","126,000","3.01M","3.79%"
"24/03/2026","124,000","132,000","132,400","122,800","3.90M","-1.27%"
"23/03/2026","125,600","135,600","138,000","125,600","4.67M","-6.96%"
"20/03/2026","135,000","148,000","148,000","135,000","10.35M","-6.90%"
"19/03/2026","145,000","146,600","151,000","145,000","5.61M","-0.68%"
"18/03/2026","146,000","148,300","156,000","146,000","4.97M","-0.14%"
"17/03/2026","146,200","145,000","150,900","145,000","2.81M","1.04%"
"16/03/2026","144,700","146,200","147,600","141,400","2.48M","0.07%"
"13/03/2026","144,600","143,900","148,000","141,200","2.67M","-0.28%"
"12/03/2026","145,000","144,800","149,700","142,900","3.04M","-0.68%"
"11/03/2026","146,000","143,000","148,500","143,000","2.97M","2.96%"
"10/03/2026","141,800","154,800","154,800","141,000","4.20M","-2.61%"
"09/03/2026","145,600","151,400","156,000","145,600","6.35M","-6.96%"
"06/03/2026","156,500","163,500","165,000","156,000","2.98M","-5.04%"
"05/03/2026","164,800","159,000","166,400","157,200","5.62M","5.91%"
"04/03/2026","155,600","150,600","161,000","150,600","4.39M","0.06%"
"03/03/2026","155,500","164,000","167,000","155,500","6.38M","-7.00%"
"02/03/2026","167,200","171,000","177,800","166,000","4.99M","-2.79%"
"27/02/2026","172,000","169,100","178,500","168,000","3.62M","1.84%"
"26/02/2026","168,900","157,000","169,000","157,000","6.78M","6.90%"
"25/02/2026","158,000","160,000","162,000","155,000","5.29M","-3.01%"
"24/02/2026","162,900","162,300","163,600","159,000","1.95M","0.37%"
"23/02/2026","162,300","160,000","166,800","159,200","3.71M","1.44%"
"13/02/2026","160,000","161,900","164,100","152,000","5.44M","0.63%"
"12/02/2026","159,000","154,800","160,800","152,000","4.35M","5.44%"
"11/02/2026","150,800","148,000","151,300","147,000","5.29M","6.57%"
"10/02/2026","141,500","132,500","141,500","132,300","6.10M","6.95%"
"09/02/2026","132,300","132,800","133,300","129,500","2.80M","0.99%"
"06/02/2026","131,000","130,100","137,300","128,000","7.31M","0.69%"
"05/02/2026","130,100","119,000","130,100","118,900","7.41M","6.99%"
"04/02/2026","121,600","129,600","129,800","121,600","11.70M","-6.96%"
"03/02/2026","130,700","125,300","133,100","125,300","8.88M","0.00%"
"02/02/2026","130,700","138,500","140,000","130,700","10.40M","-6.98%"
"30/01/2026","140,500","140,500","141,900","135,900","6.88M","0.00%"
"29/01/2026","140,500","138,900","142,000","138,500","6.99M","0.00%"
"28/01/2026","140,500","151,000","154,500","140,500","10.03M","-6.95%"
"27/01/2026","151,000","160,000","160,000","150,100","6.58M","-5.57%"
"26/01/2026","159,900","167,000","167,500","159,600","2.32M","-3.33%"
"23/01/2026","165,400","163,800","167,700","162,500","3.32M","2.67%"
"22/01/2026","161,100","157,000","161,400","157,000","3.40M","0.37%"
"21/01/2026","160,500","159,000","164,200","158,900","3.24M","-0.31%"
"20/01/2026","161,000","162,000","162,000","154,600","5.15M","-0.62%"
"19/01/2026","162,000","164,900","164,900","159,000","2.28M","1.31%"
"16/01/2026","159,900","153,000","163,000","153,000","3.82M","4.51%"
"15/01/2026","153,000","160,100","160,200","150,900","8.28M","-4.49%"
"14/01/2026","160,200","171,200","171,200","159,000","4.42M","-4.59%"
"13/01/2026","167,900","159,000","173,300","158,000","5.38M","2.57%"
"12/01/2026","163,700","174,600","175,400","163,700","9.38M","-6.99%"
"09/01/2026","176,000","176,000","180,200","172,600","5.39M","-0.34%"
"08/01/2026","176,600","183,500","190,000","176,600","6.59M","-1.34%"
"07/01/2026","179,000","173,100","179,500","168,600","7.67M","3.41%"
"06/01/2026","173,100","173,600","176,000","171,400","7.68M","0.00%"
"05/01/2026","173,100","169,600","174,500","166,800","6.64M","2.06%"
"31/12/2025","169,600","163,000","172,000","158,800","9.44M","4.05%"
"30/12/2025","163,000","159,700","163,000","151,600","8.09M","2.07%"
"29/12/2025","159,700","155,000","159,900","155,000","6.67M","3.03%"
"26/12/2025","155,000","147,000","155,200","147,000","15.34M","-1.90%"
"25/12/2025","158,000","167,600","174,500","158,000","6.37M","-6.95%"
"24/12/2025","169,800","174,000","176,600","164,000","8.75M","-0.06%"
"23/12/2025","169,900","165,000","169,900","163,000","6.62M","6.99%"
