"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","180,000","177,700","181,500","176,200","1.50M","0.73%"
"28/04/2026","178,700","178,800","180,500","176,100","1.35M","-1.00%"
"24/04/2026","180,500","174,800","180,500","172,200","1.58M","3.20%"
"23/04/2026","174,900","175,600","178,000","172,400","1.05M","-0.46%"
"22/04/2026","175,700","175,800","176,400","173,000","1.25M","0.00%"
"21/04/2026","175,700","175,400","180,200","175,000","1.48M","0.23%"
"20/04/2026","175,300","175,900","176,800","173,200","920.70K","-1.41%"
"17/04/2026","177,800","178,100","178,100","172,200","1.63M","-0.22%"
"16/04/2026","178,200","176,500","178,200","171,400","1.54M","0.00%"
"15/04/2026","178,200","166,800","178,400","166,800","2.64M","6.83%"
"14/04/2026","166,800","167,000","169,000","165,400","1.10M","0.00%"
"13/04/2026","166,800","161,400","167,000","161,300","1.05M","-0.12%"
"10/04/2026","167,000","166,500","169,500","166,000","1.04M","0.60%"
"09/04/2026","166,000","167,700","167,800","165,000","1.03M","-2.06%"
"08/04/2026","169,500","166,000","169,500","164,700","1.27M","3.67%"
"07/04/2026","163,500","163,300","163,500","159,500","992.90K","0.12%"
"06/04/2026","163,300","159,000","163,500","159,000","1.01M","1.37%"
"03/04/2026","161,100","165,000","170,500","161,100","1.43M","-2.66%"
"02/04/2026","165,500","170,000","170,000","161,200","1.06M","-0.84%"
"01/04/2026","166,900","156,500","166,900","156,200","1.69M","6.99%"
"31/03/2026","156,000","157,200","158,000","156,000","864.40K","-0.70%"
"30/03/2026","157,100","155,000","158,500","152,000","1.25M","0.06%"
"27/03/2026","157,000","155,000","157,500","153,300","1.00M","1.29%"
"26/03/2026","155,000","153,000","155,000","150,900","1.17M","1.31%"
"25/03/2026","153,000","153,000","153,500","150,000","1.29M","0.00%"
"24/03/2026","153,000","151,800","153,000","146,700","1.65M","0.79%"
"23/03/2026","151,800","152,500","153,300","151,100","980.10K","-3.50%"
"20/03/2026","157,300","157,500","157,500","151,300","1.78M","-0.88%"
"19/03/2026","158,700","158,400","158,800","155,000","1.73M","-0.81%"
"18/03/2026","160,000","156,200","160,000","155,200","1.29M","1.91%"
"17/03/2026","157,000","154,000","157,000","154,000","1.24M","1.95%"
"16/03/2026","154,000","156,000","156,000","152,600","1.16M","-1.79%"
"13/03/2026","156,800","152,600","157,000","152,600","1.26M","2.62%"
"12/03/2026","152,800","155,000","157,900","152,800","1.39M","-4.32%"
"11/03/2026","159,700","157,000","160,000","152,800","1.43M","3.03%"
"10/03/2026","155,000","154,300","156,000","150,700","1.43M","1.31%"
"09/03/2026","153,000","149,500","153,000","145,500","1.11M","-2.17%"
"06/03/2026","156,400","156,000","158,500","152,200","1.24M","0.00%"
"05/03/2026","156,400","163,300","163,700","156,000","1.57M","-4.17%"
"04/03/2026","163,200","163,600","166,000","155,800","1.47M","-0.55%"
"03/03/2026","164,100","168,300","170,000","164,100","1.19M","-2.90%"
"02/03/2026","169,000","170,500","171,600","168,200","1.18M","-3.87%"
"27/02/2026","175,800","177,800","178,500","175,200","1.13M","-1.51%"
"26/02/2026","178,500","177,500","179,100","173,700","1.17M","0.00%"
"25/02/2026","178,500","180,200","183,500","177,000","1.18M","-4.34%"
"24/02/2026","186,600","174,900","186,600","170,700","1.66M","6.69%"
"23/02/2026","174,900","169,500","175,000","169,200","1.27M","3.37%"
"13/02/2026","169,200","168,000","169,500","165,500","1.25M","0.71%"
"12/02/2026","168,000","168,000","170,000","165,700","1.08M","0.00%"
"11/02/2026","168,000","162,500","168,000","161,200","1.19M","3.07%"
"10/02/2026","163,000","164,000","165,000","161,500","1.05M","-1.21%"
"09/02/2026","165,000","166,000","168,500","164,500","1.04M","-0.60%"
"06/02/2026","166,000","165,000","166,100","161,400","1.27M","-0.30%"
"05/02/2026","166,500","164,000","170,000","162,200","1.52M","0.91%"
"04/02/2026","165,000","166,000","167,000","161,200","1.31M","-1.79%"
"03/02/2026","168,000","168,800","170,000","164,800","1.30M","-1.18%"
"02/02/2026","170,000","170,700","171,700","160,300","1.50M","-0.29%"
"30/01/2026","170,500","164,300","170,500","159,400","1.70M","3.96%"
"29/01/2026","164,000","172,000","172,900","161,000","1.78M","-4.37%"
"28/01/2026","171,500","179,000","180,200","166,600","1.97M","-4.08%"
"27/01/2026","178,800","182,200","183,500","178,800","1.22M","-1.76%"
"26/01/2026","182,000","189,700","189,900","182,000","1.22M","-5.99%"
"23/01/2026","193,600","181,500","193,600","179,900","1.51M","6.96%"
"22/01/2026","181,000","181,000","182,100","179,100","1.31M","-0.44%"
"21/01/2026","181,800","181,500","183,500","178,100","1.46M","0.00%"
"20/01/2026","181,800","185,500","186,000","181,300","1.42M","-1.73%"
"19/01/2026","185,000","184,500","187,000","182,200","1.08M","0.54%"
"16/01/2026","184,000","180,500","187,000","179,600","1.38M","1.94%"
"15/01/2026","180,500","188,500","188,500","177,500","1.67M","-4.70%"
"14/01/2026","189,400","194,200","195,200","186,000","1.90M","-2.87%"
"13/01/2026","195,000","194,000","196,500","190,200","1.64M","0.00%"
"12/01/2026","195,000","197,800","198,000","188,000","1.97M","-1.86%"
"09/01/2026","198,700","201,700","202,700","190,000","2.53M","-2.12%"
"08/01/2026","203,000","210,000","211,200","199,500","2.23M","-3.15%"
"07/01/2026","209,600","212,500","212,700","207,900","1.49M","-1.23%"
"06/01/2026","212,200","207,500","215,500","205,200","2.09M","2.27%"
"05/01/2026","207,500","207,000","209,500","203,700","1.79M","-0.72%"
"31/12/2025","209,000","204,500","209,000","201,700","1.40M","1.75%"
"30/12/2025","205,400","208,000","208,200","199,600","1.70M","-1.34%"
"29/12/2025","208,200","208,400","211,200","206,700","1.68M","0.14%"
"26/12/2025","207,900","208,700","212,500","205,000","1.67M","-1.93%"
"25/12/2025","212,000","197,400","212,900","195,800","3.52M","6.53%"
"24/12/2025","199,000","206,000","206,200","199,000","1.83M","-3.63%"
"23/12/2025","206,500","205,500","210,000","202,300","1.84M","0.24%"
"22/12/2025","206,000","200,000","207,000","197,600","1.86M","3.05%"
"19/12/2025","199,900","194,000","199,900","191,800","2.12M","3.09%"
