"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","2,022.75","2,041.40","2,052.48","2,007.85","239.35M","-0.91%"
"28/04/2026","2,041.40","2,011.42","2,045.19","2,008.70","240.48M","1.49%"
"24/04/2026","2,011.42","2,024.74","2,035.48","2,001.22","248.43M","-0.66%"
"23/04/2026","2,024.74","2,025.41","2,047.68","2,014.71","396.53M","-0.03%"
"22/04/2026","2,025.41","2,007.08","2,029.47","1,990.45","240.46M","0.91%"
"21/04/2026","2,007.08","2,009.04","2,042.12","1,983.00","330.99M","-0.10%"
"20/04/2026","2,009.04","1,988.11","2,009.95","1,971.60","257.23M","1.05%"
"17/04/2026","1,988.11","1,979.19","2,008.98","1,973.88","288.42M","0.45%"
"16/04/2026","1,979.19","1,961.60","1,982.79","1,954.04","351.98M","0.90%"
"15/04/2026","1,961.60","1,946.55","1,964.34","1,945.01","290.77M","0.77%"
"14/04/2026","1,946.55","1,925.66","1,955.16","1,915.12","334.44M","1.08%"
"13/04/2026","1,925.66","1,928.23","1,933.96","1,906.14","313.49M","-0.13%"
"10/04/2026","1,928.23","1,915.01","1,946.60","1,915.01","367.18M","0.69%"
"09/04/2026","1,915.01","1,931.01","1,943.72","1,910.36","323.45M","-0.83%"
"08/04/2026","1,931.01","1,840.96","1,931.56","1,840.96","490.37M","4.89%"
"07/04/2026","1,840.96","1,836.25","1,852.58","1,829.44","215.93M","0.26%"
"06/04/2026","1,836.25","1,837.43","1,850.09","1,828.18","201.40M","-0.06%"
"03/04/2026","1,837.43","1,852.99","1,868.91","1,830.60","269.02M","-0.84%"
"02/04/2026","1,852.99","1,861.84","1,878.96","1,838.81","349.07M","-0.48%"
"01/04/2026","1,861.84","1,829.59","1,872.80","1,829.59","324.88M","1.76%"
"31/03/2026","1,829.59","1,811.92","1,834.79","1,803.74","323.36M","0.98%"
"30/03/2026","1,811.92","1,821.53","1,824.82","1,778.32","299.90M","-0.53%"
"27/03/2026","1,821.53","1,791.25","1,825.60","1,787.02","280.16M","1.69%"
"26/03/2026","1,791.25","1,814.73","1,831.54","1,784.38","248.80M","-1.29%"
"25/03/2026","1,814.73","1,770.16","1,815.19","1,770.16","304.49M","2.52%"
"24/03/2026","1,770.16","1,741.05","1,794.61","1,741.05","267.82M","1.67%"
"23/03/2026","1,741.05","1,797.99","1,797.99","1,737.11","430.76M","-3.17%"
"20/03/2026","1,797.99","1,854.19","1,854.19","1,776.46","366.66M","-3.03%"
"19/03/2026","1,854.19","1,868.84","1,868.84","1,832.83","374.57M","-0.78%"
"18/03/2026","1,868.84","1,873.65","1,901.76","1,851.19","296.87M","-0.26%"
"17/03/2026","1,873.65","1,852.99","1,901.94","1,852.99","262.44M","1.11%"
"16/03/2026","1,852.99","1,853.60","1,863.80","1,841.70","279.63M","-0.03%"
"13/03/2026","1,853.60","1,859.80","1,874.42","1,839.49","329.39M","-0.33%"
"12/03/2026","1,859.80","1,889.94","1,895.39","1,851.20","380.81M","-1.59%"
"11/03/2026","1,889.94","1,836.96","1,894.44","1,836.96","392.46M","2.88%"
"10/03/2026","1,836.96","1,780.71","1,859.21","1,771.29","623.62M","3.16%"
"09/03/2026","1,780.71","1,904.19","1,904.19","1,773.41","736.22M","-6.48%"
"06/03/2026","1,904.19","1,942.76","1,942.76","1,901.45","416.88M","-1.99%"
"05/03/2026","1,942.76","1,956.53","1,985.71","1,937.53","434.12M","-0.70%"
"04/03/2026","1,956.53","1,959.35","1,971.38","1,902.57","608.87M","-0.14%"
"03/03/2026","1,959.35","2,010.75","2,019.60","1,953.39","528.77M","-2.56%"
"02/03/2026","2,010.75","2,061.75","2,061.75","1,966.54","624.91M","-2.47%"
"27/02/2026","2,061.75","2,069.82","2,077.35","2,047.50","319.90M","-0.39%"
"26/02/2026","2,069.82","2,049.64","2,073.31","2,049.64","339.49M","0.98%"
"25/02/2026","2,049.64","2,050.85","2,066.80","2,044.83","618.64M","-0.06%"
"24/02/2026","2,050.85","2,039.80","2,050.85","2,026.87","464.50M","0.54%"
"23/02/2026","2,039.80","2,018.64","2,044.96","2,018.64","307.48M","1.05%"
"13/02/2026","2,018.64","2,016.47","2,027.18","1,997.23","259.62M","0.11%"
"12/02/2026","2,016.47","2,000.90","2,018.94","2,000.90","216.18M","0.78%"
"11/02/2026","2,000.90","1,951.58","2,005.42","1,951.58","420.59M","2.53%"
"10/02/2026","1,951.58","1,947.75","1,970.10","1,935.90","359.46M","0.20%"
"09/02/2026","1,947.75","1,943.60","1,961.86","1,943.60","238.18M","0.21%"
"06/02/2026","1,943.60","1,969.27","1,969.27","1,937.66","482.23M","-1.30%"
"05/02/2026","1,969.27","1,988.19","1,995.69","1,969.27","327.38M","-0.95%"
"04/02/2026","1,988.19","1,997.69","2,003.26","1,974.34","469.72M","-0.48%"
"03/02/2026","1,997.69","2,004.31","2,018.35","1,991.13","399.25M","-0.33%"
"02/02/2026","2,004.31","2,029.81","2,035.72","1,971.28","379.36M","-1.26%"
"30/01/2026","2,029.81","2,018.98","2,033.32","1,996.29","375.00M","0.54%"
"29/01/2026","2,018.98","1,997.13","2,018.98","1,982.32","307.75M","1.09%"
"28/01/2026","1,997.13","2,019.88","2,031.76","1,987.47","391.08M","-1.13%"
"27/01/2026","2,019.88","2,032.28","2,036.82","2,010.57","317.60M","-0.61%"
"26/01/2026","2,032.28","2,077.76","2,089.09","2,024.23","393.81M","-2.19%"
"23/01/2026","2,077.76","2,082.35","2,102.77","2,070.80","369.57M","-0.22%"
"22/01/2026","2,082.35","2,080.38","2,099.52","2,063.25","357.02M","0.09%"
"21/01/2026","2,080.38","2,085.61","2,090.97","2,060.49","450.28M","-0.25%"
"20/01/2026","2,085.61","2,094.24","2,112.71","2,074.76","467.56M","-0.41%"
"19/01/2026","2,094.24","2,080.35","2,106.49","2,077.61","358.77M","0.67%"
"16/01/2026","2,080.35","2,047.48","2,098.66","2,040.48","453.21M","1.61%"
"15/01/2026","2,047.48","2,067.10","2,068.04","2,021.64","589.03M","-0.95%"
"14/01/2026","2,067.10","2,089.21","2,101.54","2,045.61","612.85M","-1.06%"
"13/01/2026","2,089.21","2,080.24","2,100.62","2,056.22","573.62M","0.43%"
"12/01/2026","2,080.24","2,066.21","2,082.02","2,053.50","671.70M","0.68%"
"09/01/2026","2,066.21","2,074.03","2,090.50","2,047.91","555.46M","-0.38%"
"08/01/2026","2,074.03","2,096.76","2,121.13","2,066.72","612.34M","-1.08%"
"07/01/2026","2,096.76","2,055.96","2,096.76","2,054.45","508.92M","1.98%"
"06/01/2026","2,055.96","2,028.68","2,058.90","2,022.60","434.75M","1.34%"
"05/01/2026","2,028.68","2,030.63","2,039.46","2,007.67","367.41M","-0.10%"
"31/12/2025","2,030.63","2,009.70","2,031.61","1,994.15","293.32M","1.04%"
"30/12/2025","2,009.70","1,990.66","2,009.89","1,975.19","289.99M","0.96%"
"29/12/2025","1,990.66","1,965.97","1,992.03","1,965.71","234.92M","1.26%"
"26/12/2025","1,965.97","1,976.21","1,976.21","1,914.65","477.13M","-0.52%"
"25/12/2025","1,976.21","2,023.13","2,049.15","1,976.21","291.28M","-2.32%"
"24/12/2025","2,023.13","2,012.87","2,036.61","1,994.66","358.92M","0.51%"
"23/12/2025","2,012.87","1,985.28","2,021.36","1,985.28","343.25M","1.39%"
"22/12/2025","1,985.28","1,933.28","1,985.28","1,933.28","368.17M","2.69%"
"19/12/2025","1,933.28","1,903.47","1,937.41","1,901.72","294.00M","1.57%"
"18/12/2025","1,903.47","1,897.95","1,903.47","1,885.01","231.39M","0.29%"
"17/12/2025","1,897.95","1,909.87","1,916.02","1,864.74","208.20M","-0.62%"
"16/12/2025","1,909.87","1,869.84","1,920.11","1,850.51","313.05M","2.14%"
"15/12/2025","1,869.84","1,867.03","1,889.48","1,856.31","239.07M","0.15%"
"12/12/2025","1,867.03","1,924.29","1,932.24","1,852.87","327.88M","-2.98%"
"11/12/2025","1,924.29","1,946.98","1,949.77","1,918.49","202.67M","-1.17%"
"10/12/2025","1,946.98","1,973.02","1,976.81","1,939.95","217.82M","-1.32%"
"09/12/2025","1,973.02","1,983.82","2,001.61","1,951.79","395.27M","-0.54%"
"08/12/2025","1,983.82","1,975.50","2,001.28","1,975.50","248.14M","0.42%"
"05/12/2025","1,975.50","1,979.53","2,000.75","1,967.50","277.95M","-0.20%"
"04/12/2025","1,979.53","1,971.99","1,986.17","1,965.46","351.82M","0.38%"
"03/12/2025","1,971.99","1,950.12","1,983.06","1,940.62","397.13M","1.12%"
"02/12/2025","1,950.12","1,933.56","1,953.08","1,920.23","285.65M","0.86%"
"01/12/2025","1,933.56","1,923.92","1,945.50","1,923.92","226.35M","0.50%"
"28/11/2025","1,923.92","1,921.18","1,931.28","1,911.64","226.28M","0.14%"
"27/11/2025","1,921.18","1,923.55","1,935.02","1,917.10","224.18M","-0.12%"
"26/11/2025","1,923.55","1,909.60","1,927.38","1,908.56","291.18M","0.73%"
"25/11/2025","1,909.60","1,916.36","1,932.62","1,902.12","311.64M","-0.35%"
"24/11/2025","1,916.36","1,899.89","1,925.79","1,899.89","229.50M","0.87%"
"21/11/2025","1,899.89","1,897.46","1,902.41","1,873.35","254.68M","0.13%"
"20/11/2025","1,897.46","1,886.20","1,904.44","1,883.22","261.84M","0.60%"
"19/11/2025","1,886.20","1,898.07","1,901.05","1,880.18","287.56M","-0.63%"
"18/11/2025","1,898.07","1,893.54","1,899.15","1,875.90","260.08M","0.24%"
"17/11/2025","1,893.54","1,871.54","1,894.54","1,868.11","248.56M","1.18%"
"14/11/2025","1,871.54","1,864.23","1,875.71","1,852.53","242.43M","0.39%"
"13/11/2025","1,864.23","1,872.27","1,878.20","1,853.56","253.63M","-0.43%"
"12/11/2025","1,872.27","1,821.60","1,872.31","1,821.60","300.64M","2.78%"
"11/11/2025","1,821.60","1,804.18","1,832.01","1,803.64","280.07M","0.97%"
"10/11/2025","1,804.18","1,824.71","1,844.44","1,804.11","278.15M","-1.13%"
