"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","60,900.0","60,300.0","61,300.0","60,300.0","2.41M","-0.49%"
"28/04/2026","61,200.0","61,200.0","61,300.0","60,500.0","3.22M","-0.33%"
"24/04/2026","61,400.0","62,100.0","62,100.0","60,500.0","5.86M","-0.97%"
"23/04/2026","62,000.0","62,000.0","62,500.0","61,000.0","4.23M","0.32%"
"22/04/2026","61,800.0","61,600.0","62,300.0","61,500.0","3.94M","0.32%"
"21/04/2026","61,600.0","61,900.0","62,700.0","61,500.0","5.31M","0.16%"
"20/04/2026","61,500.0","61,400.0","62,400.0","61,300.0","3.25M","0.33%"
"17/04/2026","61,300.0","61,300.0","62,700.0","61,300.0","3.12M","0.33%"
"16/04/2026","61,100.0","61,500.0","61,700.0","61,100.0","2.27M","-0.33%"
"15/04/2026","61,300.0","62,100.0","62,600.0","61,200.0","4.40M","-1.13%"
"14/04/2026","62,000.0","63,400.0","63,500.0","62,000.0","4.25M","-1.27%"
"13/04/2026","62,800.0","62,400.0","62,800.0","62,200.0","3.42M","0.00%"
"10/04/2026","62,800.0","62,600.0","64,000.0","62,500.0","6.16M","1.62%"
"09/04/2026","61,800.0","61,800.0","62,100.0","61,400.0","2.92M","-1.28%"
"08/04/2026","62,600.0","62,200.0","62,700.0","61,700.0","5.57M","2.62%"
"07/04/2026","61,000.0","60,900.0","61,200.0","60,300.0","1.83M","0.16%"
"06/04/2026","60,900.0","60,000.0","61,000.0","60,000.0","2.59M","1.50%"
"03/04/2026","60,000.0","61,000.0","61,700.0","60,000.0","3.79M","-1.32%"
"02/04/2026","60,800.0","61,500.0","61,700.0","60,800.0","2.86M","-0.82%"
"01/04/2026","61,300.0","61,300.0","62,200.0","61,000.0","5.45M","1.32%"
"31/03/2026","60,500.0","61,000.0","61,500.0","60,500.0","5.32M","-0.17%"
"30/03/2026","60,600.0","60,600.0","61,500.0","60,200.0","4.08M","-1.46%"
"27/03/2026","61,500.0","61,000.0","61,900.0","60,900.0","2.14M","0.82%"
"26/03/2026","61,000.0","62,100.0","62,100.0","61,000.0","2.04M","-1.77%"
"25/03/2026","62,100.0","61,500.0","62,200.0","61,400.0","3.45M","1.47%"
"24/03/2026","61,200.0","61,800.0","61,800.0","60,900.0","2.69M","0.66%"
"23/03/2026","60,800.0","59,200.0","61,000.0","59,200.0","5.91M","1.33%"
"20/03/2026","60,000.0","61,000.0","61,500.0","60,000.0","5.73M","-1.64%"
"19/03/2026","61,000.0","61,400.0","62,000.0","60,800.0","6.40M","-1.13%"
"18/03/2026","61,700.0","61,800.0","62,700.0","61,600.0","2.60M","0.33%"
"17/03/2026","61,500.0","62,700.0","63,000.0","61,500.0","3.82M","-0.49%"
"16/03/2026","61,800.0","62,600.0","62,900.0","61,700.0","2.97M","-2.06%"
"13/03/2026","63,100.0","62,000.0","63,200.0","61,600.0","5.39M","2.44%"
"12/03/2026","61,600.0","62,000.0","62,700.0","61,300.0","6.30M","-2.22%"
"11/03/2026","63,000.0","61,700.0","63,700.0","61,600.0","7.51M","1.45%"
"10/03/2026","62,100.0","60,000.0","62,100.0","59,500.0","10.76M","6.88%"
"09/03/2026","58,100.0","59,000.0","59,100.0","58,100.0","18.05M","-6.89%"
"06/03/2026","62,400.0","63,000.0","63,000.0","62,200.0","6.47M","-1.27%"
"05/03/2026","63,200.0","65,000.0","65,200.0","63,000.0","8.17M","-2.62%"
