"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","26,500.0","26,800.0","27,000.0","26,500.0","18.79M","-1.85%"
"28/04/2026","27,000.0","27,250.0","27,450.0","27,000.0","7.72M","-0.92%"
"24/04/2026","27,250.0","27,400.0","27,600.0","27,200.0","8.71M","-0.55%"
"23/04/2026","27,400.0","27,650.0","28,100.0","27,400.0","12.90M","-0.54%"
"22/04/2026","27,550.0","27,600.0","27,850.0","27,400.0","13.65M","0.00%"
"21/04/2026","27,550.0","28,000.0","28,250.0","27,550.0","12.78M","-1.78%"
"20/04/2026","28,050.0","28,500.0","28,500.0","28,050.0","14.86M","-0.71%"
"17/04/2026","28,250.0","27,800.0","28,500.0","27,650.0","25.67M","2.36%"
"16/04/2026","27,600.0","27,300.0","27,900.0","27,000.0","15.41M","0.91%"
"15/04/2026","27,350.0","27,850.0","27,850.0","27,250.0","12.23M","0.00%"
"14/04/2026","27,350.0","27,300.0","27,750.0","27,100.0","14.45M","1.67%"
"13/04/2026","26,900.0","27,000.0","27,200.0","26,800.0","13.56M","-1.47%"
"10/04/2026","27,300.0","27,500.0","27,900.0","27,300.0","14.45M","0.74%"
"09/04/2026","27,100.0","27,350.0","27,500.0","27,050.0","11.85M","-1.81%"
"08/04/2026","27,600.0","27,200.0","27,750.0","26,650.0","24.91M","5.95%"
"07/04/2026","26,050.0","25,600.0","26,100.0","25,500.0","11.43M","1.76%"
"06/04/2026","25,600.0","25,800.0","25,950.0","25,500.0","11.09M","-0.78%"
"03/04/2026","25,800.0","26,300.0","26,400.0","25,750.0","16.76M","-1.71%"
"02/04/2026","26,250.0","26,600.0","26,600.0","26,000.0","11.44M","-2.05%"
"01/04/2026","26,800.0","27,300.0","27,350.0","26,800.0","10.29M","0.37%"
"31/03/2026","26,700.0","26,400.0","26,900.0","26,250.0","19.38M","2.30%"
"30/03/2026","26,100.0","25,650.0","26,400.0","25,550.0","16.54M","-1.32%"
"27/03/2026","26,450.0","26,000.0","26,550.0","25,900.0","11.26M","0.95%"
"26/03/2026","26,200.0","26,300.0","26,500.0","25,850.0","19.43M","-0.38%"
"25/03/2026","26,300.0","25,950.0","26,400.0","25,550.0","21.94M","4.16%"
"24/03/2026","25,250.0","24,450.0","25,650.0","24,250.0","30.00M","5.21%"
"23/03/2026","24,000.0","24,900.0","24,900.0","23,900.0","22.74M","-4.19%"
"20/03/2026","25,050.0","25,300.0","25,900.0","25,050.0","15.98M","-2.15%"
"19/03/2026","25,600.0","25,250.0","25,800.0","24,950.0","23.99M","0.00%"
"18/03/2026","25,600.0","25,950.0","26,150.0","25,400.0","9.27M","-0.39%"
"17/03/2026","25,700.0","25,800.0","26,400.0","25,700.0","9.32M","0.78%"
"16/03/2026","25,500.0","25,700.0","25,750.0","25,400.0","7.47M","-0.58%"
"13/03/2026","25,650.0","25,400.0","26,000.0","25,000.0","13.87M","-0.39%"
"12/03/2026","25,750.0","25,850.0","26,200.0","25,500.0","12.81M","-2.65%"
"11/03/2026","26,450.0","25,500.0","26,500.0","25,400.0","17.30M","3.73%"
"10/03/2026","25,500.0","26,000.0","26,000.0","24,800.0","30.38M","2.82%"
"09/03/2026","24,800.0","24,800.0","25,200.0","24,800.0","32.37M","-6.94%"
"06/03/2026","26,650.0","27,000.0","27,000.0","26,650.0","15.45M","-1.30%"
"05/03/2026","27,000.0","27,450.0","28,100.0","26,950.0","21.45M","-0.55%"
"04/03/2026","27,150.0","27,350.0","27,650.0","26,500.0","26.58M","-1.09%"
"03/03/2026","27,450.0","28,050.0","28,450.0","27,300.0","18.80M","-2.14%"
