"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2026","32,300.0","31,500.0","32,800.0","31,200.0","16.94M","4.87%"
"28/04/2026","30,800.0","28,800.0","30,800.0","28,750.0","16.46M","6.94%"
"24/04/2026","28,800.0","29,550.0","29,750.0","28,700.0","4.96M","-0.86%"
"23/04/2026","29,050.0","30,300.0","30,450.0","29,050.0","10.08M","-3.01%"
"22/04/2026","29,950.0","29,350.0","30,500.0","28,700.0","9.08M","2.22%"
"21/04/2026","29,300.0","29,600.0","30,300.0","29,200.0","10.61M","-0.51%"
"20/04/2026","29,450.0","28,600.0","29,500.0","28,150.0","6.68M","2.97%"
"17/04/2026","28,600.0","29,200.0","30,000.0","28,550.0","7.24M","-3.38%"
"16/04/2026","29,600.0","29,500.0","30,650.0","29,000.0","16.44M","1.02%"
"15/04/2026","29,300.0","28,300.0","29,700.0","28,250.0","14.41M","5.02%"
"14/04/2026","27,900.0","27,850.0","28,050.0","27,600.0","3.85M","1.27%"
"13/04/2026","27,550.0","27,000.0","28,050.0","26,900.0","3.92M","0.18%"
"10/04/2026","27,500.0","27,850.0","28,000.0","27,050.0","4.60M","-0.36%"
"09/04/2026","27,600.0","27,500.0","28,050.0","27,200.0","5.73M","0.00%"
"08/04/2026","27,600.0","26,800.0","27,600.0","26,500.0","7.01M","6.98%"
"07/04/2026","25,800.0","25,750.0","26,350.0","25,500.0","2.82M","0.19%"
"06/04/2026","25,750.0","26,300.0","27,000.0","25,650.0","3.94M","-2.83%"
"03/04/2026","26,500.0","27,000.0","28,250.0","26,350.0","6.43M","-2.57%"
"02/04/2026","27,200.0","28,000.0","28,300.0","27,200.0","6.53M","-1.27%"
"01/04/2026","27,550.0","26,800.0","27,550.0","26,700.0","10.21M","6.99%"
"31/03/2026","25,750.0","25,700.0","25,850.0","25,450.0","2.50M","0.39%"
"30/03/2026","25,650.0","25,000.0","25,700.0","25,000.0","2.53M","-0.39%"
"27/03/2026","25,750.0","25,550.0","26,050.0","25,300.0","3.50M","0.78%"
"26/03/2026","25,550.0","26,200.0","26,300.0","25,550.0","2.05M","-3.04%"
"25/03/2026","26,350.0","25,450.0","26,450.0","25,400.0","5.26M","4.15%"
"24/03/2026","25,300.0","25,150.0","25,650.0","25,150.0","2.73M","-0.20%"
"23/03/2026","25,350.0","25,550.0","25,550.0","24,500.0","5.05M","-3.06%"
"20/03/2026","26,150.0","25,650.0","26,150.0","24,800.0","8.42M","0.38%"
"19/03/2026","26,050.0","26,000.0","26,100.0","25,350.0","5.19M","-0.19%"
"18/03/2026","26,100.0","26,500.0","26,950.0","26,100.0","3.49M","-1.32%"
"17/03/2026","26,450.0","26,000.0","26,900.0","25,900.0","5.16M","2.12%"
"16/03/2026","25,900.0","25,250.0","25,900.0","25,100.0","4.83M","2.57%"
"13/03/2026","25,250.0","25,600.0","26,000.0","25,250.0","3.44M","-2.51%"
"12/03/2026","25,900.0","24,800.0","26,100.0","24,800.0","6.62M","1.17%"
"11/03/2026","25,600.0","24,000.0","25,600.0","23,900.0","8.11M","6.44%"
"10/03/2026","24,050.0","25,000.0","25,000.0","23,500.0","10.41M","-1.64%"
"09/03/2026","24,450.0","24,450.0","25,000.0","24,450.0","3.09M","-6.86%"
"06/03/2026","26,250.0","27,000.0","27,000.0","26,250.0","3.67M","-2.78%"
"05/03/2026","27,000.0","27,800.0","28,600.0","27,000.0","7.00M","-3.57%"
"04/03/2026","28,000.0","26,300.0","28,000.0","25,350.0","9.39M","6.26%"
"03/03/2026","26,350.0","27,800.0","28,000.0","26,050.0","9.57M","-5.22%"
"02/03/2026","27,800.0","28,500.0","28,750.0","27,800.0","8.15M","-4.30%"
"27/02/2026","29,050.0","29,800.0","29,800.0","29,050.0","3.10M","-2.35%"
"26/02/2026","29,750.0","28,550.0","29,850.0","28,550.0","5.43M","4.20%"
"25/02/2026","28,550.0","29,300.0","29,500.0","28,550.0","9.04M","-3.22%"
"24/02/2026","29,500.0","29,600.0","29,700.0","29,350.0","5.23M","-1.67%"
"23/02/2026","30,000.0","30,000.0","30,100.0","29,400.0","6.28M","0.67%"
"13/02/2026","29,800.0","30,000.0","30,000.0","29,100.0","7.06M","-0.50%"
"12/02/2026","29,950.0","29,500.0","30,250.0","29,200.0","7.59M","1.87%"
"11/02/2026","29,400.0","29,000.0","29,450.0","28,800.0","6.15M","1.55%"
"10/02/2026","28,950.0","28,100.0","29,550.0","27,900.0","11.25M","2.66%"
"09/02/2026","28,200.0","28,200.0","28,200.0","27,450.0","5.57M","0.53%"
"06/02/2026","28,050.0","28,300.0","29,250.0","28,000.0","8.64M","-2.60%"
"05/02/2026","28,800.0","28,050.0","29,950.0","28,050.0","13.57M","1.95%"
"04/02/2026","28,250.0","28,500.0","28,600.0","27,100.0","11.64M","-0.53%"
